nama,bintang,komentar,Waktu
Bilbina Rugian,5,,a day
R Halim,5,Tampa baru yg paling bagus mo healing akang. Awww 🤣🔥,3 days
val,5,"Viewnya keren banget, malem bisa lihat Manado city lights, sore sunset di laut Sulawesi & Manado Tua, dapet sunrise juga. Pelayanan oke punya. Kamar pun canggih terkoneksi bluetooth kalo mau pasang lagu, dan bisa diatur warna lampu sesuai keinginan. Nice experience! Sukses terus~",4 days
IRNI MEINA PENILA LARASATI,5,"Pengalaman menginap di bobocabin Bunaken Hills Manado …Pokoknya mantapp betul bobocabin ini,,the best 👍🏻👍🏻👍🏻
pelayanan yang bagus, fasilitas kamar oke  nyaman bersih, tmpatnya tenang, ditmbah pemandangan yang maa syaa Allah indah sekali,,
Tks Bobocabin bunaken Hills Manado",4 days
Lisandro Lontoh,5,"Keren, pekerjanya ramah semua, apa” dibantu, lebih bagus pake aplikasinya , serasa punya asisten pribadi👍 Ada mobil yg stanby 24 jam buat dri parkiran ke lokasi kamar. Topcer",6 days
lebre juliette,5,Incredible stay in bobocabin. You have the best view of the city and the staff is really welcoming helping and nice. It's perfect ! Maybe a restaurant is missing but Manado is 15/20min away.,a week
Alfred Andrews,4,"Fantastic property and wonderful food and staff. April, Wliza, Timothy, Angel, Putri, Mark, Risky and Dian were super helpful. I recommend people to check it out.",a week
Olive Mamonto,5,,a week
Presdy Sagay,5,Tempatnya bagus,a week
Astrid A Mandagi,5,,2 weeks
Misraim Lette,5,,2 weeks
Jessica Tarima,5,Cabin yang nyaman dengan pemandangan yang indah,2 weeks
Raymond Undap,5,"Tempat healing terbaik di Manado so far!
Jika ingin tempat yang tenang dan secluded Bobocabin Bunaken Hills adalah tempatnya.
Staff yang sangat ramah dan helpful. Check-in check-out menggunakan aplikasi, signal telpon akan sering bermasalah, namun ada wifi gratis yang tersedia dan lancar sebagai substitusi dari masalah signal.
Sediakan lotion anti nyamuk bagi yang bermasalah dengan nyamuk.
Info dari driver, akan ada pengembangan fasilitas baru di kiri dan kanan kabin yang ada sekarang, restoran (yang ada saat ini adalah shared public space) dan kolam.
Bebas membawa makanan dari luar which is good!",a month
Edo Pattiradjawane,5,"Great view, comfort room",a month
Rifdha Mongay,5,"Kamar sangat nyaman, layanan sangat ramah, lokasi sangat asri🥰",a month
Oktania Sari,5,Pelayanan sebanyak bintang di langit+++,a month
Ichal Makalalag,5,,a month
Meryon Pongoh,5,"Pemandangan yg bagus sx siang/malam,,kebersihannya ok,,fasilitas kamar ok…
yg terpenting pelayanan staffnya sangat ramah dan siap 24 jam…",a month
punky pertiwi,5,"View bagus , sunyi , enak untuk kumpul sama teman”",a month
Steven Carlo,5,"stayed here in may. got the 4 person room. the hill is very steep you need a manual transmission car or a 4 wheel drive to get up. or of you have AT, you can put in manual mode.

check in was very fast. staff will assist you to the room. room is a bit tight, but it’s all right

we got bbq and hotpot dinner, and also for an extra fee you can request bonfire to fight off the mosquitoes.

that brings us to insects, bring a mosquito repellent.

inside the room it’s good, but since it’s located on a hill, you will encounter mosquitoes and german cockroaches. a lot of em.

breakfast is fine, few to choose from, but tasty.

will i come again ? perhaps.",a month
Esalindri Maengkom,5,"Lokasinya strategis, dekat pusat kota manado.",a month
Pricillia Umboh,5,,2 months
Muh Arif Bagus Panuntun,5,,2 months
