nama,bintang,komentar,Waktu
Buyung Rizz,5,"Kesana dapet promo langsung dari aplikasi bobobox..
Pelayanan masih sangat kurang..
-Pesan BBQ kosong,,
-Pesan kayu bakar untuk bakar2 juga kosong,
-Akses naik turun ke parkiran yg cukup merepotkan jika tanpa mobil antar..
-resto hotel tidak menyiapkan apa2,, jadi pesan di resto bawah yg makanannya sama sekali tidak enak buat lidah saya,,malam pesan nasi goreng,,
Laaaa dapat sarapan dari tempat yang sama nasi goreng lagi 😂😂😂 niat malam BBQ tapi kosong,,
Tapi terbayarkan kamar dan pemandangan oke..
Akses kelokasi dan keluar jg cukup ngeri..",16 hours
andien naomi,5,,21 hours
MomAbel Family,5,"To be honest, lokasinya ini bukan di Dieng ya... Tp sdh masuk kab. Batang. Dari Dieng masih 2 jam lagi krn jalanan medannya naik turun. Harus pake mobil yang prima dan skill driver jg oke. Bonusnya dari Dieng kesini viewnya cantik banget, aplg lewat tol Kahyangan.

Utk room oke... Di tengah kebun teh. Ada sigembok Hill. Mnrt saya viewnya topppp.... Bisa liat gunung dan kota. Benar2 di ketinggian. Hawa dingin tp tdk dingin2 sekali.

Bed besar, ok banget utk keluarga. Sy pesan no breakfast tp tetap dikasih breakfast loh.

Untuk anak2 bisa main high rope sambil liat pemandangan cantik, udara segar, pokoknya refresh banget!

Overall ok banget utk liburan klrga yang ingin menyatu dg alam, tenang, view cantik dan bonus sunrise yang kerennnn n... Warbiasak!",a day
Tangguh Jati (Tango),5,"Breathaking view, excellent services, clean and complete amenitites bobocabin always in my first list for mountain view staycation",2 days
Okky Maniko,5,,2 days
Tri A (Tria),5,Kamar bersih wangi ckp untuk 3 org Tidur yg tipe deluxe..cuma sayangnya untuk paket BBQ tidak ada karena kekurangan staff..agak repotnya untuk nunggu shuttle naik..apa Lagi pas posisi sedang hujan..tp untuk suasana terdebest..staff nya jg ramah2,6 days
Gunadi Kr,5,The best bobocabin i ever visit so far. View kebun teh dan lereng gunung semua ada disini. Ada kafe disebelah bobocabin jd jangan kuatir kesulitan mencari makanan. Hawa sangat dingin.,6 days
syana febrinisa,1,"Jauh-jauh ke bobocabin di Dieng, tapi aslinya malah kamarnya pemandangannya semak-semak. Ga kayak yang ada di foto2. Akses juga susah. Super ga worth it.
Better cari penginapan lain banyak yang bagus2 juga di dieng.",6 days
inneke theresia,2,"Ke sana bersama keluarga total 4 kamar.
Kamarnya bagus, estetik, pemandangan dan suasana lingkungan hotel bagus, hanya saja ada beberapa hal yg sangat disayangkan.

1. Lokasinya sangat amat jauh dari wisata dieng, +-1-1,5 jam. Untung saya booking di hari terakhir setelah dari dieng. Jalannya curam dan ekstrim, pulang dari hotel kami menggunakan jasa pengawal motor yg kebetulan menawarkan bantuan. bantu menghalau kendaraan dari arah berlawanan saat di tikungan2 tajam.
2. Tiba di hotel untuk check in sekitar jam 6 malam, diaturkan kamar yg berjauhan, tdk bisa berdekatan padahal sdh booking 4 kamar sekaligus.
3. Proses check in cukup lama dan ribet karena harus download app dulu, dan staff cuma 1. Staff yg handle saat itu tidak ramah, terkesan seperti robot.
Ditanya breakfastnya apa, katanya tergantung kitchen nya masak apa, Ibu sy vegetarian mau request tanpa daging2an tdk bisa. Menyesal pilih rate kamar yg termasuk breakfast.
Setelah saya desak baru staff nya menjawab, biasanya menunya nasi goreng. Tinggal jawab gitu aja susah sekali 😰
Jam breakfast juga hanya bisa jam 8 pagi, jadi untuk tamu yg berencana keluar kamar lebih pagi tidak bisa 😌. Breakfast dikirim ke kamar 2 kotak nasi goreng dan 2 cup teh manis.
Untuk harga yg d charge seperti harga breakfast buffet, jadi tidak worth.
4. Malam hari gerimis, kamar saya tdk disediakan payung, sedangkan di kamar sebrang ada payung. Saya hubungi hotline yg katanya 24 jam, sampai saya check out payungnya TIDAK DATANG. 😂
5. Air panas dibatasi 20 liter, atau untuk 2 orang mandi tulisnya, baru mandi 1 orang air panas sdh tidak bisa. Kamar satunya malah belum digunakan sdh tidak bisa air panas nya. Lapor hotline tidak respon2, sampai sy telp2, akhirnya ketemu staff lapangan baru langsung dilaporkan ke teknisi.

MOHON DIPERBAIKI KEDEPANNYA, kalau disuruh kembali lg ke sini saya pikir2 lagi 🤣",6 days
Andy Darma Widjaja,5,,a week
Nugraha taufik,5,,a week
Tyas P,4,"Bobocabin Dieng is a picturesque retreat set amidst the lush green valleys, offering stunning views right from the window of your cabin. The sight of the rolling green hills enveloped in mist creates a serene and calming environment. They have 31 cabins in total and also various of outdoors package with jeep or hiking.

Despite the stunning natural setting we encountered several inconveniences.  Notably, the drinking water was out of stock, and there was no proactive communication from the staff regarding this issue. It was only after we inquired that a solution was provided. We had to wait for 30 minutes from the time we requested a pickup to actually being picked up by the car. On check in process also delay, there was only 1 staff ready while serving 4 families/groul to check in. She alone also need to informed the driver to arrange the pick up.
This delay was quite inconvenient and detracted from the overall experience.
We also order foof via chat and after more than 30 mnts there still no response. Only after we meet bobohelper to check our order the staff then reply the text notified our order was processed.

In summary, while Bobocabin Dieng offers breathtaking views and a peaceful ambiance, the service aspects need significant improvement to match the beauty of the location. Better communication and more efficient service would greatly enhance the guest experience.",a week
aditya Anna,5,,a week
Wisnu Nugroho,5,"Bobocabin Dieng
Dari km 0 Dieng sekitar 40 menit melewati jalan Krakalan yg viral dengan rute tol langit dan pemandangan indah.

Kamar yg didapat nomor 24 dengan pemandangan ke arah tempat komunal, tidak langsung pemandangan.
Suasana sangat tenang dengan kicau burung.",2 weeks
ariefbros,5,"Pemandangannya bagus, dingin cocok buat honeymoon, jalan ke sininya yang harus berhati hati",2 weeks
Dilla anasya,2,"Sekedar informasi kalau bobocabin ini terletak daerah batang,bukan dieng Wonosobo,jd kalau kita tujuan wisata dieng dipikirkan lg,soalnya jln nya ekstrim kalau dr bobocabin menuju dieng.lewat tol khayangan kalau kabut hujan jln g kelihatan,tanjakan curam bawah sudah jurang.untuk mobil penggerak depan tidak di anjurkan,apalagi lcgc.",2 weeks
Khozin Udin,1,akses msuk rute masuk sulit jalan tidak baik,2 weeks
Dimas Paul,1,Jalur berbahaya untuk menuju kesana,2 weeks
ARDHIAN 32 RENTCAR,1,Akses sangat berbahaya & sulit di jangkau,2 weeks
Aveline Agrippina Tando,4,"What I can say is best place to visit Dieng, when you are from Jakarta, transit via Pantura - not Wonosobo or Purwokerto as the location is not quite far from Tol Jakarta-Semarang. Only 90 mins to Semarang, and 50 mins to Highway to Jakarta-Semarang. However, don't sacrifice your private car, better rent the jeeps and pay more, as you should pass Tol Kayangan and Tanjakan Krakalan, one of the famous and extreme tanjakan in Dieng.

To Dieng, you should spend time earlier to see the sunrise. Start at 3am sharp. Not recommend to bring seniors as the place have some stairs and potentially slip during rainy day.

The views are awesome. The cabin crews were also very welcome, esp Mbak Annisa (really appreciate yours, Mbak) and the drivers. They need more staffs actually, esp high seasons to avoid late response and actions. Moreover, they also need more cars or providing the carpark at the top. However, they need to take care the rooms more as I found some dirty spots around the bed and below the bed.

The cabin is quite new and they complete with insect door. Ok, this is great and appreciate that.

If you want to enjoy your time and play more in Zone 2 of Dieng, this is the best place for you.",3 weeks
REDSTONE GAMER,5,"Tempatnya the best banget, sumpah ga expect untuk senyaman ini. Semuanya dengan teknologi yang canggih di setiap cabinnya. 😆👍",3 weeks
Rigar David,5,"Lokasi tidak jauh dari Semarang, suasana sejuk, kamar dan fasilitas oke, harga affordable, kru gercep, cuma akses jalan cukup sulit",3 weeks
