nama,bintang,komentar,Waktu
Marwan Hanafi,5,,2 days
Hendra Widiawan,5,"Tempat yg bagus, dengan view 360° dan suasana nyaman sejuk udara segar, pokoknya terbaik d kintamani",2 days
Nazwa Kaila Damayanti,5,"Beautiful view , friendly staff thank you will come back soon",2 days
Budi Aryawan,5,"Tempat nyaman, staff ramah😁",4 days
roy siswanto,5,"Exelent service, such a good experience bisa ke Bobocabin Kintamani. mulai dari pelayanan, location yang clean & nyaman",5 days
pputuaasih wk,5,sangat baik,6 days
Revriandri,5,good place for healing,a week
mutiara saragih,5,nice,a week
Cepi Muhamad Latip,5,,a week
Meysha Yudiesta,5,,a week
vira fitri zulaikha,5,Seru asik tempat nya sangat rekomend sih mantapppp,a week
soleh solehudin,5,,a week
fadhil tsany,5,,a week
Kevinfirmnsyh,5,,a week
Ghalih Ramadhan,5,,a week
Riskie Hutama,5,,a week
Mochamad Lukman Aliansyah,5,,a week
Putri Alica,5,,a week
astia ananda,5,,a week
Fikri Ardian,5,"The best experience, place, service, and facilities. Everything was top-notch. Next-level accommodation that's highly recommended.",a week
Uye 01,5,,a week
Faza Rayhan,5,,a week
Adistia Kusumaningrum,4,,a week
Septa Pahingga,5,"Sehari ga berasa bgt saking bagus nya tempat nya 😭😭
Rekomendasi pokoknya enak bgt tempat nya staff nya ramah ramah 🤩🤩",a week
Ni luh Ade listiani,5,"Pemandangan yang indah langsung menghadap danau, pelayanan yang ramah, tempat yang nyaman",a week
Ketut Sri,5,,a week
Putu Jenggi,5,"Nyaman ,sejuk ,langsung menghadap danau ,pelayanan yang sangat ramah",a week
Wayan setiawan Setiawan,3,,a week
Osi Ananta,5,Tempatnya nyaman dan cocok buat liburan keluarga,a week
julian adi,5,"The place is very good, strategic, plus the views are very enchanting and the service is also very good",a week
Tuti Mariani,5,Tempatnya nyaman,a week
Semn Barang,5,"Pengalaman saya selama stay di bobocabin pemandangan sangat indah, kamarnya jga bagus, dan bersih. Staff yg sangat ramah, teknologi kamar sangat canggih, tempat parkir jga luas. Sangat puas selama stay disini pokoknya bakalan nginap lagi di sini",a week
Sri Ketut,5,"Tempat nyaman , sejuk, natural hot spring, view bagus menghadap danau",a week
Dimas Wibowo Lubis,5,,a week
hendro sebayang,5,Penginapan terkini dengan pemandangan dan servis yg bagus cocok untuk anak muda dan yg sudah berkeluarga,a week
Ridho hrp,5,,a week
Cepii Muhamad17,5,,a week
Aoki Benigto Chandra,5,Tempat nya cocok untuk healing rekomended bnget,a week
Togap simanungkalit,5,The Best !!! 👍👍👍👍👍👍👍,a week
silas nainggolan,5,"Thanks bobocabin Kintamani, Bali. Best staycation with best service and price. I am so exicited to stay back in here 🥰😘",a week
Gita Helena,5,"Ngga salah pilih sih nginap disini baru tau ada penginapan secanggih dan senyaman ini buat liburan jadi lebih happy lagi
Soon mau nginep di bobocabin yang lain keknya seru deh😊",a week
Made Tantra,5,"All the staff are friendly terutama mas didi ramah dan membantu saya pas diperlukan, untuk sayang yang pertama kalinya menginap disini nyaman untuk bermalam di tambah view yg bagus, namun akses jalan emg susah. Tp untuk keseluruhan bagus, thanks mas didi",2 weeks
Fayra Zain,5,Amazing place to stay!,2 weeks
Jro Saba,5,it was fantastic and charming place to stay if you go to Kintamani or Bali. Don't miss it !,2 weeks
Hadi Kusumah,5,"Tempat nyaman, tp roomnya kurang luas...dan akses menuju lokasi cukup curam..tp terobati dengan suasana dan pemandangan indah serta pelayanan yg ramah..",2 weeks
Dewa ayu Krisna,5,"tempat yang menarik, keren, kekinian, sejuk, dan bagus untuk refreshing. pelayanan bagus.",2 weeks
Dody Satrianto,5,Amazing view with nice and well maintained Cabin,2 weeks
Ketut Yuli,5,Semua oke👍 cuma minusnya di kolam bak mandi air panas nya kotor lumutan jd rugi gg k. Pake berendam ☹️,2 weeks
Irfan Prasetya,5,,2 weeks
Dwi Novria Ambarwati,5,"Ok mantap, alamnya indah dan bisa menikmati danau kintamani",2 weeks
Teni Septiani,5,"Untuk pertama kali menginap disini sangat nyaman sekali. staff yang ramah dan sangat membantu jika diperlukan. Pelayanan OK!!! view nya sangat indah bikin romantis. Overall recommend sekali untuk bermalam disini. liburan jadi sangat menyenangkan.
kekurangan ada di akses jalan yang kurang memadai dan ada nya lalat sehingga cukup mengganggu. Semoga kedepannya lebih baik dan yang pasti akan menginap disini lagi. thank u Bobocabin Kintamani♡",2 weeks
Evan Ap,5,"Good experience, just need some improvement for access",2 weeks
Nur Muhammad Dandi,5,"Untuk pengalaman pertama kali menginap di bobocabin suasana nya nyaman, enak kalau buat orang"" yang tidak suka keramaian. Pemandangan bagus,  khusus buat orang suka suasana view langsung ke alam. Staff nya baik"" ramah dan fasilitas cukup aman",2 weeks
Martin Panjaitan,5,"Sangat menyenangkan liburan disini dengan pemandangan yang indah dan akan kesini lagi untuk liburan, namun untuk jalan akses kesana kurang memadai. Overall its good👍",2 weeks
Nurrizqi,5,,2 weeks
Indra Irawan,5,"The best place to unwind from the urban hustle and enjoy a natural setting with beautiful lake and mountain views. All the staff are friendly, and the service is outstanding. Perhaps the road access and the issue with flies could be improved. Other than that, it's exceptional.",2 weeks
aeron xeron17,5,,3 weeks
Sinta Aprilya,5,"So far so good, cabin,staff dan view nya ok.. hanya saja akses jalan nya kurang memadai",3 weeks
Yuli Hapsari,5,"Seru banget bisa stay disini walau cuma semalam. Bener-bener experience baru buat anak-anak. Hawanya dingin banget (ada ac dikamar), tenang, staffnya ramah, ada room servis juga jadi gak takut laper tengah malam. Sayang jalan menuju tempatnya hanya muat 1 mobil dan jalanannya agak rusak",3 weeks
Jaxon Stevens,5,"We absolutely loved our stay here at BoboCabin 😍 The cabins were so cozy and cute and the natural outdoor hot tub was perfect! 🤩

We will definitely come back next time for a longer stay.",4 weeks
putri aprsy,3,"all the staff are friendly, pemandangannya bagus dan kamarnya rapi.
But there are 2 things you need to pay attention to :
1.  Saya memesan kamar ini untuk memberikan kejutan dengan dekorasi happy birthday kepada pacar saya dan saya sudah menantikannya. Tetapi tanpa pemberitahuan lebih awal mereka mengganti kamar saya dengan kamar yang belum didekorasi dengan alesan karena kondisi kaki saya yang sakit dan mereka memberi kamar itu yang lebih dekat. Bahkan mereka baru memberi tahu dan memberikan option ke pacar saya ketika saya bertanya, jadi itu bukan kejutan lagi :)
2. Bathtub disana berlumut parah, airnya berwarna coklat bahkan sampai ada gelembung seperti lendir di airnya.

Saya menantikan pengalaman stay di bobocabin selanjutnya dengan versi lebih baik.
Terimakasih.",4 weeks
iLupuspa,5,"Untuk kunjungan yg mencari ketenangan alam, hening dari hiruk pikuk perkotaan yg metropolitan banyak polusi dan kemacetan
Nah recomended nginap disinii
Karna pemandangan hijau sangat bagus dan memanjakan mata

Tapi untuk yg membawa anak kecil
Harus bisa tidur berasa sperti suhu sedingin air es di kulkas 🥶
Walaupun ada hot [water/ hot tab] tpi tidur dibawah suhu dingin itu sesuatu yg butuh adaptasi ketahanan tubuh bagi anak² terutama yg membawa bayi",a month
Dessy Febrina,5,"Like other bobocabins, it provides a unique staying experience through technology that can be controlled via the bobocabin application.

It takes about 2 hours to reach here by motorcycle. The vista is stunning, but there is no road access to Bobocabin. The position is 600 meters off the main road and has very narrow and steep access (not advised for sedans).

The breakfast was amazing and characteristic of home cuisine (as far as I know, they requested local citizens to prepare it).

The overnight temperatures here are extremely chilly, thus air conditioning is unnecessary; roughly 14 degrees.",a month
Nikenisma Putri,5,"Bobo cabin kintamani kerennn banget, pelayanannya juga ramaahh pollll , fasilitas cabin nya juga oke ga usah di raguiin lgi buat book disini. Suksema mas didi👋🏻",a month
Nani Rochaeni,5,"Pemandangannya keren, staffnya ramah dan cekatan dalam membantu, sayang akses jalannya yg kecil dan gak bagus",a month
Youka Pasya,5,"seru bgtt solo trip ke kintamani dan nemu bobocabin dengan pemandangan yang luar biasa dan service staffnya yang ramah ramah sekali, next time pasti kesini lagi uwuwuuuwww",a month
