nama,bintang,komentar,Waktu
Susanti Santi,5,,a day
Tyas P,5,"Bobocabin Pangandaran is an idyllic retreat that offers a serene and private beachside experience. Nestled among lush greenery, the cabin provides a picturesque view of the beach from the comfort of your smart window, allowing guests to …",6 days
Dias Taradhika,5,"Kamar bersih, rapi, futuristik, cozy
Pantainya kids friendly,
Nasi liwetnya wangi dan enaaak, …",a week
Yandi Apriyandi,5,,a week
Rani Rdm,5,"Kereeeen ,, wajib coba !!! Anak anak suka sekali karena bisa langsung ke pantai 🥰 …",2 weeks
Amalia Arisandi (aMeL),5,"We stayed overnight here on the uphill cabin, so the view right from our window was totally breath taking. …",2 weeks
Beany Sudjana,5,"Nice place for healing...
Price is affordable
Front private beach",3 weeks
Harry,4,"Lokasi persis pinggir pantai, pemandangan laut dengan suara ombak yang menderu deru.
Lokasi nya tersembunyi dengan pantai private. …",a month
dimas radityo,5,"cabin no4 best view, walau paling atas, tp view nya paling oke.",a month
Ressy Susanti,5,"Bobocabin pertama yg dicoba,
tempatnya enak banget buat relax, karna jauh dari hiruk pikuk keramaian pantai pangandaran …",a month
Poej Ammar,5,"Ga mau pulaaaaang.. 😂
Tapi lumayan harganya wkwkkk
Pokonya kerenn …",a month
Herman Badruzzaman,5,,a month
Dhiya F Zhafirah,5,Kalo bisa servicenya aku kasih bintang 100!!!!!!,2 months
Efri Firmansyah,5,,2 months
Mpii Dewinovita,5,,2 months
Rasya Radhitya Ananda,5,"The beach was pretty unique, I love the sands, even though there is a trash, but still I don't care, it's unique",2 months
Tanpa Nama,5,"Love
Keren",2 months
Songo Arif Rachman,5,,2 months
rachmat nazul mubarok,5,,3 months
Mohammad Kusno,4,,3 months
Willi Personal,5,,4 months
Bayu Satrio,5,"Bobocabin pertama yg di coba dan memuaskan. Dari perjalanan uda terbayang bakal keren banget dan private karena jalan lumayan jauh ke dalam. Tp ternyata lebih ekspektasi tempat nyamam banget walaupun yg deluxe ada ke atas jd hahehoh 🤣, tp …",4 months
Dee,5,"Love to stay here, love the private beach",4 months
Kuryadi Gocar,5,,5 months
Fahmi SMMM Key,5,,5 months
Arya Supriadin,5,"Cocok untuk healing ada private beach nya, untuk view dari cabin kurang sii karena terhalang pohon² tapi kalo ga ada pohon panas banget kalo siang.. overall recommended.",5 months
Masih Amatir,5,Im falling in love,5 months
Sang Saka,5,,5 months
Eka Teguh,5,,5 months
Sofyan Triana,5,"Dua kata buat Bobocabin dan pemandangannya... ""Luar Biasa""",5 months
Wahyudi Wahyudi,5,"completely fun: food, views, helper, all great",6 months
puji lestari,5,Pemandangan lautnya keren..apalagi saat pagi. Ada karang yg berseruling. Kamar bersih..sayang cm dpt air minum sekali ndak ada refill,6 months
Aldi Riyadi Sani,5,,6 months
Abdolrhman Al-attas (atz-96),4,,6 months
Kaisar Fauziansyah,5,,6 months
Agus Takari,4,,7 months
ARIEF “OYIKK” HARTAWAN,5,Best place to make a rave party.,7 months
Mila Yanuar,5,"Tempat nya okee.. view nya oke banget, walopun harus mendaki tangga yang lumayan bikin keringetan untuk sampe ke cabin nya. Pelayanan nya oke, makanan nya lumayan.",7 months
Sira Maya,5,Puassss banget,8 months
Wahyu Handayani,5,"Pertama kali nyobain bobocabin,best banget, ga sia2 milih tempat ini buat refresh, kesini mbanking wajib",8 months
Rita Noviyanti,5,,8 months
Daffa Ramadiguna,3,"Tempat tidurnya nyaman, sesuai dengan konsepnya cabin di alam terbuka. Pantainya bagus masih sepi. Tapi mohon maaf, untuk makanan nya sadfood. Kalian kalo mau ada rencana kesini, siapin makanan sendiri, bawa sendiri ya.",8 months
Dian Herdiana,5,Tidak jadi nginap,8 months
Fidelis Robertus,5,,8 months
BJ IH,4,,9 months
Akhlan M. Hadikusuma,5,,9 months
sri mulyani,5,"Nginep disini, berasa punya pantai pribadi",9 months
Arsan Dwi Hamong Mukti,5,"Tempat terbaik buat healing memang!

Sunyi, sepi, hangat, debur ombak, suara burung, bener2 tempat luar biasa buat …",9 months
AGUS RAHMANA,5,,9 months
hadiansyah,4,,9 months
Wedangan Chekly,5,,9 months
Nurry Eko,5,"Tempatnya oke, staffnya ramah, cabinnya terasa lebih luas dibanding cabin di rancaupas.  Daerahnya masih sepi, tempat makan terdekat yg recommend dari sisi rasa dan harga ada di Lesehan bahari fresh seafood yg terletak di dekat pintu masuk …",10 months
Yuliati Faridah,4,"Staycation bernuansa alam pantai madasari. Dapatkan pengalaman menginap yang tenang dengan kekhasan alam madasari yang menawarkan view dan suasana tenang, nyaman dan indah. Pelepas penat 'healing' minimalis kekinian😊👍👍 …",11 months
Mega Kartika Hermawan,5,"Nginap di kabin kecil fasilitas lengkap, lokasi di private beach yang bener bener sepi dan menyenangkan ✨. Bisa liat view laut lepas dari dalam kamar lewat jendela yang gampang disetting. sunrise di pantainya masha allah 💕 …",11 months
