nama,bintang,komentar,Waktu
sherly sherly,3,Lumayan lah... segar udara nya,2 days
Nathania Cai,3,"View dan suasananya bagus, tapi cabin terlalu kecil untuk diisi 4 org : tidak ada hanger handuk, air panas hanya bisa untuk 2 org (perlu tunggu 2 jam untuk panas lagi), amenities juga sangat minim, tidak ada showercap, coffee, sabun cuci tangan aja ga ada.

Pest control juga sangat kurang, kami awalnya menjemur handuk di outdoor area samping kabin, namun segera kami pindahkan ke dalam begitu kami lihat di meja makan ada siput/lintah.
Di dalam kamar pun masih ada serangga. Mungkin bisa lebih diperbaiki terkait pest controlnya.",2 days
Yesica Yesica,1,"Tempat nya cukup asik dan bagus. Cuma sayang disini tidak memperbolehkan bawa alat BBQ portable sendiri, namun mereka menyediakan alat dan daging dengan berbayar. Sayang nya alat nya kotor mesti kami cuci ulang dan yang paling parah pada kualitas daging nya yang buruk sekali. Saran kami, jika memang tidak bisa menyediakan daging yg baik, cukuplah kalian menyewakan alat BBQ nya saja, biar daging kami bawa sendiri",2 days
d a v ID,5,,4 days
Moch Wahyu,5,,6 days
Sidik - BLK Kota Semarang,5,,a week
ali murtadho,4,,a week
andy saurus,1,"Tempat istirahat tenang di alam ?
- 19.00-21.00 full karaoke dan musik dengan volume yang keras (sudah di komplain) dan besok pagi nya
- 06.15 musik dengan volume yang keras",a week
Indri Utami884,5,Best bgt bobocabin🩷,a week
Nysa 25,5,Meskipun agak susah kesana tapi view ama suasananya juara,2 weeks
PIAN Cantigi,1,"1. Check.in lama yg membutuhkan waktu 39mnt  karena cabin belum siap

2. Wifi naik turun jadi gk stabil

3. Banyk serangga yg masuk waktu pertama masuk kamar

4. Tissue kering sedikit

5. Kamar mandi banyk jaring laba2

6. Ada suara berisik sampai pukul 23.00

7. Balkon/ teras banyk putung rokok

8. Payung tdk di sediakan & tdk ada arah kiblat

9. Menu breakfast yg sangat kurang baik ..
Nasi ada item2ny dan lauk di batasi & tdk ada buah , dan di pukul jam 08.40 tinggal sisa2

10. Memberi penilaian saat check out langsng di kasir itu kurang bangt yaa ...",2 weeks
Adz Ghf,5,Puas pokoknya kalo mau healing nenangin diri ngilangin stres disini tempatnya 👍🏻,3 weeks
Eko djoko Walujo,3,,3 weeks
Dimas Mahardika,5,Pertama kali dan menyenangkan suasananya di kawasan hutan.. cocok untuk yang butuh penginapan penuh ketenangan dan kesejukan.. cuman kendalanya harus kuat jalan kaki dan cabinnya ga bisa pilih dan diacak no.nya. kabin yg viewnya bagus ada di 21 22 23 24 tapi agak jauh dari lobby.. lalu shower air panasnya sedikit kapasitasnya cuman bisa 1 orang saja..,4 weeks
Achmad Chusaeri,5,"Pelayanan sangat baik, tempat nyaman dan romantis.",a month
Yanto Neo,5,,a month
Winda Sari,4,"Menyenangkan, sayang makanan kurang bervariasi air panas kamar mandi rusak.",a month
Suzy Swandayani,5,And yup 👍👍👍,a month
Muhammad Nauval Djufrie,5,,a month
Ary yanuar,5,,a month
