nama,bintang,komentar,Waktu
Imam Maulana,4,,3 days
Irna Indra,5,,6 days
Lieu lee,4,,a week
Raidan Alkhalij مطعم ريدان الخليج,5,"A beautiful, special and wonderful place",2 weeks
asyifa lestari,5,the best experience ever! walaupun di hutan tp tetep ngerasa safe🫶🏻,2 weeks
Shofie Octafiana,5,,2 weeks
Brian Andy,5,"Kamarnya minimalis tapi bagus, stafnya ramah Dan sangat membantu jika kita ada kesulitan (saya dipinjemin charger). Lokasinya menarik, banyak pepohonan Dan dekat sungai, cocok untuk healing. Akses petunjuk ke bobocabin yg kurang banyak sehingga agak kesulitan ke lokasi",2 weeks
arrk fnu,5,"For the price is best alternative.
Super clean individual cabins, with inner toilet.
With woods surroundings and camp fire for your option.

Located inside Grand Cempaka Resort - Ciawi-Puncak.

Good for Relaxing out of cities crowdiness.",3 weeks
Dana Bahari S,5,,3 weeks
Teddy Pangestu,3,The main selling point for The Tavia is the outdoor bathtub (quite pricey up to 2.5m/night) and nearby river (not very clean from local people dumping their waste on the river). Not much nearby activities available.,3 weeks
Ibadurrahman,5,"Nice place for Relax
Cabinnya ok, bersih, staff ramah, pengalaman baru pokoknya kek berasa glamping tapi room mevvah dan modern, suasana nya nyaman bgt klo siang gak panas karena banyak pohon² tinggi jadinya adem, sorenya asik bgt buat berendam di Hottube sambil ngopi atau minum juice, saat malemnya tenang bgt dan jgn takut gelap karna banyak bgt lampu²  gtu, apalagi ada sungai kecil dan sungai ciliwungnya jadi relax bgt klo tidur karna ada suara airnya, cocok buat pasangan/honeymoon atau keluarga, mau bawa banyak keluarga jg enak bgt karna ada komunal dan fire camp nya bisa buat api unggun, ada Musholla dan Toilet Sharing yg lengkap bgt ada Water Heater dan Hairdryernya segala, makanan jg lengkap dan BBQ + Steamboat nya enak bgt karna ga perlu ribet bawa peralatan karna all in semua tinggal masak aja sama pasangan hehee ngena bgt romantic nya enak,  Recommended bgt sih menurut gue buat ngajak pasangan atau keluarga 🤩",a month
Theresia Mega,5,,a month
Defyn Arya Nugraha,5,,a month
Evan Kurniawan,5,,a month
kantata nugraha,4,,a month
mella sary,5,"Pegawaii ramah asli...
Terus kamar mandinya bersih,nyamab bgt deh",a month
Sasono Ardhi Widagdo,5,,a month
Krisna E,5,"i would say the good cabin in puncak I ever try, nerver try bobocabin before,
+good location + quite + high tech place +good for lonely

- the cabin too small",a month
Plump,3,nice area but you can see loads rubbish otw to the river.,2 months
adi leo,4,,2 months
Fikri Ramadan,5,"Nyaman,bersih, kamar mandi sharingnya oke, pelayanannya baik",2 months
Zahraa Auli,1,,2 months
Arie Adi Sasongko,4,,2 months
SheIng Tjioe,5,Best short escape and healing near Jakarta,2 months
Viuty Tiadita,5,"Pengalaman menginap suasana alam! Pemandangannya bagus, suara air mengalir sungainya terdengar jelas, suasana mirip hutan jadi berasa camping dengan fasilitas. Staffnya ramah, teknologi yang digunakan menarik. Dimalam hari tidak banyak nyamuk dan tidak terlalu dingin. Lokasi mudah dicari dan tidak terlalu jauh dari jalan utama jadi masih bisa pesan go/grabfood.
Saran: mohon dicek kembali untuk lampu2 yg sudah rusak untuk diganti dan lampunya dipadamkan jam 6 saja, pengalaman saya keluar ke toilet jam 5:30 sudah gelap sekali dan matahari juga belum terbit.
Overall it's fun, ingin mencoba bobocabin cabang lain lagi!",3 months
Farah,5,"Di dlm cabin gada nyamuk tapi pas pagi"" keluar banyak bgt nyamuk kebunnya jadi kudu prepare bawa obat anti nyamuk",4 months
"Dr. zainu amri, M.Pd.",5,,4 months
