nama,bintang,komentar,Waktu
Fikri Muhamad Alfikri,4,"Bagus nyaman aman pelayanya ramah""",a week
Yeni Dwi Agustina,5,,a week
ERIC TRIPUTRA WITONO,5,,3 weeks
Maz Boy,5,"Kamar bersih dan nyaman, area sekitar tidak bising jadi lebih tenang, dan parkiran motor ada di garasi jadi lebih aman",3 weeks
Angga Pratama Novandyanta,5,,a month
Rizki Nur Alawi,5,,a month
SG Team,5,Lokasi di kawasan perumahan elit dan asri,2 months
Achmad Fahrurrozi Maskur,4,,2 months
Rofi Ngudin,5,,2 months
cindy calistha,3,"My 1st experience nyoba hotel capsule. Lumayan utk transit smalam d Bdg, dpt harga lg high season. But its oke, bersih kamar & toiletnya. Sprei diganti ga ya? Agak kusam.

Masukan aja, agak nyusahin ketika sholat subuh pagi2 suami saya hrs ke lantai 1 knp mushola tidak ada di dlm area bobobox. Sama tolong sediakan gantungan di kamar mandi menurut saya kurang. Selebihnya ok",2 months
Muhammad Bintang Cahya Putra,5,"Kamar nyaman, dan cocok untuk istirahat darurat",2 months
adiz somara,5,,3 months
Fanisa Putri,5,,3 months
Chairul Asshaffat,5,,3 months
Riza Usman,4,Dapat harga diskon Ramadhan Alhamdulillah…. Hanya saja akses makanan atau restoran di dekat hotel tidak ada harus agak jalan kaki 10~ 15 menitan… tapi kalau pake motor aman2 saja untuk cari makanan di luar….,3 months
egytaufan,5,worth it,4 months
Jo Jamaludin,5,,4 months
Yosua Kornelius Wirawan,3,"Overall ok bobobox spt biasa.. tapi kok sabun mandi nya bau banget ya kek ga biasanya..

And kamar agak bau ya.. tlg dibenahi..",4 months
Wilson Frenredy,4,,5 months
ARI ASIDI,5,Bobobox yang suasananya sangat tenang dan tentram walaupun berada di perkotaan. Pods dan toiletnya bersih dan nyaman ala bobobox.,6 months
M ngrh,5,,6 months
Abdus Salam Salam,5,Terbaik pokoknya.,6 months
Fanny Aryanthy,5,👍🙏🫶❤️🥳😍,6 months
Grace Kelly Hosea,1,"I would say that this one was the worst experience I had with Bobobox / Bobopod ever.
The bedsheet was smelled sooo bad. I hated the smells when the first time I opened the door.
The air con was terrible, not cold at all,, they didnt clean it also. I got coughs for a whole night and it insisted me to sleep outside the room (I slept on the couch) the bathrooms were not in good maintenance. Clogged and dirty.

Bobobox / bobopod next time? I know it's not expensive but I need to think and think more.",6 months
Elsa Anastasya,5,Bobopod ternyaman! Bersih dan wangi areanya bagus buat foto2.. Next kesini lagi..,6 months
Jajang Nurjaman,5,"Tempatnya Nyaman, Staff nya ramah, Area nya Tenang dan Area Komunal nya Luas dan estetik",6 months
Dody Satrianto,5,Great,6 months
Nashyfa Nayla,5,"Hotel yang murah dan memuaskan.
Sangat cocok untuk tempat singgah.
Fasilitas nya sangat lengkap loker per kamar, dispenser, sandal tidur, handuk dan alat mandi.
Kamar mandinya sangat bersih, dilengkapi juga dengan hairdryer.
Hotel simpel, aesthetic, nyaman dan aman.
Area parkirnya tidak terlalu luas, lokasi bobobox ini bersebelahan dengan hotel Nyland.
Have fun!
Terima kasih, Sukses selalu.",6 months
Saphira Maharani,2,"Receptionistnya ramah, tempat tunggunya luas tapi tolong banget diperhatikan kamar mandinyanya  yang perempuan untuk bilas cuman berfungsi 1, dari 2 kamar mandi jadinya lama sekali antri untuk mandi semuanya pakai 1 kamar mandi. Buang buang waktu banget.",6 months
Vizio Votre,5,Clean and tidy room. All staff very kind and helpful. Very comfy. Can't wait to see you again.,6 months
demmy kaliman,5,Nyaman tentram daerahnya sangat sejuk dan strategi,6 months
febrika budiarto,5,"Area hotel sangat tenang, nyaman, bersih, serta dekat dengan lokasi kuliner, shopping center dan juga semua staff ramah siap membantu.",6 months
Nurdjanah Ralli,4,"Lokasi strategis,mudah di akses,pelayanan prima.dan tersedia perlengkapan sholat.
Tempat bersih,nyaman harga murce
Pokoknya 👍👍👍👍👍",7 months
Sukarni Theresia,5,Cukup nyaman.. bersih..,7 months
Iqbal Beillardi,5,"Bersih, ramah, nyaman, dan sangat strategis",7 months
Rizal Zulkarnaen,4,"Jadi Bobobox Cipaganti ini bareng sama Hotel, pod Bobobox ada di lantai 2. Untuk pelayanan sebenernya rada kecewa karena gabisa early check-in. pas udah jam 2 waktu check-in harus nunggu sebentar buat refresh data.

Selain itu, Hotel & Podsnya oke bersih nyaman, dan gak berisik. Toilet sharingnya juga bersih.

Please, adain early check-in, ada biaya tambahan juga sebenernya gapapa.",7 months
Aa Fahmi,5,"Boboboxnya satu area sama nyland hotel
Overall oke. Parkiran motor didalem indoor, parkiran mobil lumayan luas",7 months
dr Encep Wahyudan,5,,7 months
Karbella Nov,5,,7 months
Agung Yuli,5,,7 months
Nadya Eriani Syafira,5,,8 months
Asep Noviana,5,Tetap saya pribadi kurang suka hotel tipe kapsul / pods...,8 months
Kevin Setiawan,5,,8 months
Yustina Dwilia Pebrinia (Justina Dwilia),5,"iseng cobain nginep disini ama suami, ternyata seru jugaa. tempatnya gampang nemuinnya, pelayanannya good bgt, penjelasan yg diberikan sangat detail, cuma mungkin untuk alat sholat setidaknya disiapin 1 mukenah ajaa gituu, kasian buat yg ga prepare bawa. Alhamdulillaah suami bawain aku mukenah, jadi tinggal balik kamar ajaa deh. cuma kalo kesini jgn kaget aja kalo kamar mandinya kepisah hehe dan makannya harus di luar kamar, tempat makannya juga rapih dan bersih kok",10 months
Amalia Damayanti,5,,10 months
muhammad aziz,5,"Pelayanannya ramah. Cocok buat yang mau berlibur atau urusan bisnis karena berada di pusat kota bandung, jarak ke stasiun cuma 6 menit",10 months
Lilis Nurlaeli,5,,11 months
Bimo Rentor Antonius,5,,11 months
Dimas Setiawan,5,,11 months
Wahyu Kun,4,"Overall, Ya mayanlah sesuai harga.
Box ini sebenernya solusi kalau mau murah simple.

Plus: bersih, tempat tidur cukup untuk satu orang, bantal empuk, lampu bisa di adjust, toilet bersih, rapi.
Area of improvement:
Kasur tipis kurang nyaman, tangga buat naik ke kasur yg SKY minggir bgt susah lebih baik tangga lngsung yg step ditengah jangan jadi lemari, saran juga ada kursi ditempat loker sepatu. Suara orang ngorok kedengeran bgt apalagi yg satu box atas bawah 😂",a year
darpa sious,2,"overall lokasinya nyaman, tempat tidur enak cuma kasur dan bantalnya kaya blm dicuci bantal juga tipis ga kaya di bbobox alun alun bdg, trs kasur yg kena noda hrs bayar (seharga nginep lgi 1 malam) pdhal selama saya tinggal di bbobox alun"" gapernah ngeluarin uang selain bayar buat nginep bahkan saya jg pernah dikasurnya itu ada tumpahan masker dan ga di apaapain ga hrus nunggu dan di cek dulu apakah ada noda atau ngga, untuk cek in pun ktpnya lgsg dibalikin lagi ga kaya di cipaganti ini, nunggu sampe cekout/hari brikutnya untuk diambil, toilet bbobox cipaganti gaada air.
kecewa bgt sih parah pdahal lokasinya bagus bgt buat jalan jalan sendiri tenang aman dingin",a year
Bilal Akbar,5,,a year
Herlina Herlina,5,Cocok untuk anak muda yang aktif n modern,a year
Irsan Hidayatullah,3,,a year
ochi dyati,1,"Tempatnya stategis, tapi kamarnya panas, pengap banget, sudah komplain tapi staffnya ga ngasih solusi, penghuni pods lain putar musik kenceng banget, sangat menggangu. Staffnya  juga ga menegur padahal sudah malam",a year
ジアンJeje,5,Bobobox paling tenang dan adem fix,a year
Poetra Harindra,1,"Bobobox terburuk sejauh ini. Manajemen berantakan. Pod dgn AC ga berfungsi tapi malah dijual. Yakali tidur di pod sekecil itu gak pakai AC. Disuruh nunggu petugas front office sampai di lokasi dari jam 5 sore sampai jam 10 malam, dan hasilnya gak ada solusi juga. Akhirnya memutuskan untuk pindah hotel.",a year
Claudio Dassmer,5,,a year
Krishna Astu,4,"Cukup memuaskan sebagai pengalaman capsule hotel pertama di Indonesia. Resepsionis gabung sama Hotel Nyland, mereka ramah dan informatif.

Seluruh area sangat bersih, tapi terasa sebagai fasilitas tua karena terlihat beberapa kerak di wastafel. Kasur terasa agak keras dan pendingin dikontrol oleh pusat namun masih cukup nyaman. Terdapat ruang komunal untuk makan dan minum (dilarang membawa ke dalam ruang tidur)

Lokasi strategis, relatif di tengah kota namun tetap di daerah yang tenang dan asri. Sayang untuk ruang parkir terbatas hanya sekitar 7 mobil saja.

Overall tempat yang okay, namun secara harga memang bersaing dengan hotel bintang 2/3.",a year
yudys Way,1,"Habis perjalanan jauh cekin buat mandi2 ternyata wc nya zonk sedang perbaikan, mungkin next time setidaknya bisa di informasikan ke customer terlebih dahulu, sarung bantal dan bedcover juga agak kusam bisa lebih di perhatikan,
refund pun tidak bisa, jadi yasudalha ya NT",a year
Dody Satrianto,5,,a year
Fadhila Hanna R,5,Bersih nyaman,a year
Trip.com Member,4.1,Its good for budget,a year
edo oktorano,5,,a year
Trip.com Member,5,Had a great stay. Bobobox is always clean. Stayed here my second time.,a year
ade saputra,5,,a year
Ahmad S,5,,a year
Dessy Natarine patty,5,,a year
Abdullah Musa,5,,a year
Novianty Natalia,5,Tempat yang pas buat nyari experince baru bersam anak2.  Serasa camping sih.  Tempat bersih dan nyaman,a year
Hafiz Elfia Wedo Putra,5,Unique capsule hotel but clean and comfortable for 1 night rest,a year
Dennis Irawanda saputra,5,Good job,a year
Khoirul Umam,5,"Untuk pertama kalinya booking hotel sendiri, harganya sangat2 terjangkau dan whort it fasilitas semuanya ada 👌
Cuma gada branch nya aja mungkin krna harganya udh murah 🤭",a year
Okki Rizki,5,"Tempatnya nyatu dengan hotel nyland bobobox dilantai 2, pegawainya ramah,tempatnya aga tersembunyi tapi gpp jadi ga bising enak buat istirahat,bersih",a year
Imam Mauliadi Achmad,5,,a year
Nerviwalci,3,,a year
Muhammad Fachry Ramadhany,5,Numpang tidur,a year
Wandha Yunita,5,,a year
