nama,bintang,komentar,Waktu
Reza fauji Utama,5,terbaik,5 days
Agung Kurniawan,5,"Strategic location, nice service from both the bobopod staff and the parking staff. Pretty comfortable for people who are just looking for a place to sleep and rest for a while",a week
Rehard Nur Arbiyudha,5,Lokasi sangat strategis untuk backpacker. Dekat dengan pusat kota jadi enak mau kulineran dan city tour,a week
Siti Nur Aenie,5,,a week
RidwanKuliner RidwanKuliner,5,"harga terjangkau,Lengkap bisa angetin makanan, Bersih, pegawainya Ramah,sudah 2 kali ke sini…",2 weeks
Sephian Prabowo,5,"Pegawainya ramah, sangat membantu buat yang baru pertama kali ke bobobox. Tempatnya bersih, setiap pagi kamar mandi selalu di bersihan. Ada tempat sholatnya.",3 weeks
yuliza irawati,5,Best for bobobox pod bandung,3 weeks
Thio Angela,5,"Lokasi nya strategis, banyak kulineran yang bisa di explore. Resepsionisnya ramah dan sangat helpful, apalagi ketika saya menginap ""tetangga kamar"" masih ngobrol ketika jam hening dan kedengeran banget di pod, komplain ke resepsionist, si akang langsung response dan menegur pod tsb sesuai dgn peraturan bobobox.
Kamar mandi bersama juga bersih dan nyaman di pakai 👍",3 weeks
Joan Amelinda,5,"Resepsionis ramah dan helpful, tempatnya bersih dan nyaman. Tempatnya aman untuk solo traveling, dan privasi terjaga. Recommended!",3 weeks
Achadian Ramadhan,5,,4 weeks
Aa Fahmi,5,"Bobobox strategis, deket ITB, dan gedung sate
Pelayanannya ramah, mulai dari satpam sampe servis counter
Fasilitas Oke, harga terjangkau
Parkiran cukup terbatas kalo mobil, motor juga ada space walau ga terlalu luas
Oke sih buat nginep disini",a month
lukita shafa,5,"dapet harga under 200 di lokasi yg terbilang strategis ini worth it banget sih mana staff nya juga ramah banget shout out to ka teni hehe thanks! room ya standar kok buat hotel kapsul, kebersihan juga ok, next bakal kesitu lagi 👍🏻",a month
ibrahim Adritama Adritama,5,Kalo weekend harganya rada2 gamasuk akal,a month
Alam Prayugo,5,,a month
Omar Karim,5,,a month
hastin sihombing,5,Deket ke tempat jajanan,a month
Achmad Fahrurrozi Maskur,5,,2 months
Muhammad Bintang Cahya Putra,5,Seperti biasa bobobox tidak mengecewakan...apalagi disini banyak2 spot makanan yang bisa di pesan online,2 months
robi sonjaya,5,Nice comfortable place.     I recommended this Bobopod Dago,2 months
Edie Marwanto,5,,2 months
Nasrul Faizin,5,"Nyaman untuk stay semalam, untuk berhari-hari sepertinya tidak",2 months
Iid al imdad,5,Nice,2 months
arif budiana,5,Enak dan bersih,3 months
Alfian Krisna Ramdhani,4,"Bobobox Pods Dago in Bandung is a fantastic choice for tech-savvy travelers, scoring a solid 8.5 out of 10. The highlight is definitely the high-tech room – everything from lighting to music is controlled at your fingertips. But the comfort doesn't stop there. The beds are surprisingly plush, ensuring a restful night's sleep. Cleanliness is another strong point – the pods and common areas are spotless. The staff truly impressed us with their helpfulness. We encountered some noise issues with a neighboring family, and the staff went above and beyond to address the situation. As a thoughtful gesture for the inconvenience, they even offered us a late check-out. While the capsule concept might not suit everyone, Bobobox Pods Dago offers a unique and comfortable stay with excellent service.",3 months
Pandu Gusti Resworo,5,"The pod and facilities are clean and comfortable. However, prepare accordingly because the pod is not soundproofed. You will hear every step, door and chitchat. Overall bobopod offers a great value.",3 months
mohamad dodi,5,Ok mantap,4 months
Michael Sean,5,,4 months
B K,5,Clean and Tidy. Always my go to place to stay for short trip around the city.,4 months
Andi Juansyah,5,Okk buat backpacker,4 months
Jo Jamaludin,2,,4 months
Luna,5,I always book bobopod for my short solo trip. The single pod is comfy enough for 1 person. The communal area and the bathroom is so clean and the staffs are so kind and helpful.,4 months
Chrysta Nahuwaiy,5,"Nginap semalam yang Worth it ya ke BoboPod Dago. Tempatnya strategis banget, dekat dengan tempat makan dan tempat belanja pastinya. Lalu service yang diberikan mantap ada breakfast nya loh sekarang (gratis). Kamar, toilet dan area umumnya tuh bersih banget. Walau tempatnya kecil ya namanya juga BoboPod tapi mantap banget kelengkapannya. Thanks ya Manajemen BoboPod semoga tempat lainnya juga sama ya. Sudah 2x saya kesini dan tidak menyesal, semakin tidak menyesal dikarenakan ada breakfast nya 😁👍👍🎉",4 months
The R7,5,"Cocok banget buat yang introvert, meskipun keliatan kayak kecil tapi kasurnya lumayan lebar loh, cocok lah buat orang yang tujuannya cuman buat merem doang dan murah. Terus kamar mandinya bersih banget loh, bisa nyewa sepeda, sepeda listrik, sama motor listrik bagi yang ingin keliling-keliling di sekitar dago. Ada free WiFi juga, kenceng wifinya. Keren👍",4 months
Riki Bagus,5,"Untuk kelas penginapan dengan harga dibawah 200 ribu, saya kasih nilai sempurna. Ruangan kamar yang bersih dan rapi. Bantal, sprei dan selimut juga wangi. Pilihan warna biru membuat terlihat lebih bersih dan segar.
Layanan front office dan para staff jiga ramah dan membantu jika ada yang dibutuhkan.
Ruang bersama seperti tempat duduk santai, ruang makan, serta kamar mandi juga nyaman dan bersih. Yang paling penting menyediakan musholla bagi yang beragama Islam.
Lokasi cukup strategis dan mudah dijangkau.",4 months
Ale Achmed,5,,5 months
Jehan arifa,5,,5 months
yudith andrew,5,,5 months
cynthia ratna nur anisa,5,,5 months
Ahmad Faisal,5,"As expected, buat solo traveler budget emg paling pas tidur disini. Lokasi strategis, deket gasibu & jl dahi, tp ke minimarket jauh.",5 months
