nama,bintang,komentar,Waktu
Andre Ronaldo,5,Nice place,4 days
Aldiyono,5,,5 days
One Lombok,5,"Tempatnya sangat strategis, depan stasiun juanda.
Tempatnya bersih
Pelayanan kreen …",6 days
Kevin Matthew,5,,a week
cyn,5,"Lokasi strategis depan mata stasiun KRL juanda yg nyambung sama halte busway juanda.
Makanan byk jgn takut kelaperan mau jajanan pinggir jalan sampe restoran ada, …",a week
Aditya iqbal,5,,2 weeks
TITI SURYA,5,,2 weeks
Anton Kristanto,4,Bobopod yang kurang bersih dibanding bobopod lain yg pernah saya kunjungi. Di lobby bau asap rokok. Lantai kamar mandi licin dan handuknya bau..,2 weeks
Febria Suryaningrum,5,Tempat nyaman utk transit,2 weeks
Qorinul Huda,5,,3 weeks
Rahma Diniati.s,5,,3 weeks
Dewiayu Ratri,5,,3 weeks
Ibnu Mubarok,4,,4 weeks
Fatur Listio Prabowo,5,"Lumayan kesini gratis karena dapat voucher dari Bobopod

Akses sangat gampang banget kesini naik lift dan persis depan stasiun Juanda …",a month
rdt,5,,a month
Beta Priatmaja Putra,4,,a month
Mahatmanto Budiatmoko,5,,a month
wahana aditya,5,Tidurnya nyaman banget . Semua bersih,a month
Hatta Razhasya AndiPratama,5,,a month
nasser hayaza,5,"Kamar bersih direkomendasikan untuk kawula muda di umum,Semua kelas rekomendasi kan .. mantap dekat dengan moda transportasi dan terintegrasi dengan KRL halte Transjakarta ,good",a month
Denok Ayu,5,"Bobobox selalu membantu para traveller&backpacker seperti biasanya~ service oke, kamarpun oke, mas mbaknya pun ramah2. Cucok juga yg mau me time 👀 breakfast yg di dapat juga lumayan (bisa dilihat di foto), Terus Lokasinya strategis, …",a month
Muhammad Dion,5,,a month
Achmad Naufal J.r.,5,gassss rekomendeddd braderrrr,a month
Maya Mandrinia Putri,5,,a month
chen surip,5,,a month
Qonik Fajriyah,5,"Sangat rekomen buat yg cmn transit doang. Belakang stasiun juanda passs, akses mudah darimana saja.
Banyak jual makanan, perkopian, lawson, family mart, jajanan kaki lima. …",a month
Martin Konrad,1,"Our poorest customer experience ever, be aware of this greedy company!!
Long story short, after accidentally booking one day ahead of our actual arrival, we almost begged! to please reshedule or cancel our booked/payed room. …",a month
Reksa G,4,,a month
Shin Yokoyama,4,,a month
adri yanto,5,"Pertama kali nginap di bobobox, keren dan kekinian, kuncinya cukup pake aplikasi kalian bisa download di android playstore. Pokoknya keren, kamarnya bisa suasana kaya di hutan yang ada air sungainya. Dan suara2 burung.",a month
Dede Sopyan Novalga,5,,2 months
Syamil Ahmadi Hasan Ahmadi,5,,2 months
Jessica Natallia,5,Enak nginap sini.. Bersih dan nyaman disediakan breakfast juga. Sebrang st. Juanda,2 months
dhanang ardhi,5,,2 months
Chalil Akbar,4,"Bagi yang mau kesini harap download dulu aplikasi bobobox karna buat check in, check out dan pakai kamar dll itu pakai aplikasi itu .. …",2 months
Darien T.,5,"Edit stay 2, 2 tahun berikutnya: Tempat masih oke dan bersih, terawat dengan baik. Cuman sayangnya minus sih belum kerjasama dengan pengelola parkir, padahal contohnya di ITC pun udah. Memang sih areanya dekat dengan stasiun, cuman bisa …",2 months
Andrie Kurniawan,5,,2 months
Lulupiw_,5,,2 months
Hosea supirman,5,,2 months
Fernanda Viennetta,5,,2 months
Dandelion Vercise,5,,2 months
Yana NY,5,mantav,2 months
anz. pratama,5,"Dari sisi lokasi sangat strategis di area pusat Kota Jakarta. Dari sisi kebersihan kamar, ruangan, kamar mandi bersama sangat ok.
Yang paling penting, suasana waktu menginap disana sangat hening, sedikit sekali suara, sehingga sangat cocok dibuat istirahat.",2 months
Sandy Widharna (Uban),5,"(+) Lokasi strategis
(+) Banyak makanan di sekitar
(+) Kamar dan lingkungan bersih
(+) Pegawai resepsionist sangat ramah",2 months
Syamsul Maarif,5,,2 months
Annisa Maulina (张尼萨),5,"Lokasinya strategis banget, di lantai dasar dekat dengan minimarket seperti lawson dan family mart, lalu ada juga coffeeshop dan makanan berat. Tepat di depan stasiun krl juanda dan masjid istiqlal. Ruang komunal untuk makan dan shower …",2 months
Vikky Devian,5,"Keistimewaan terbesar bobopod juanda menurut saya adalah lokasinya yang sangat-sangat strategis. Krna terletak di tengah kota mau ke mana-mana jadi gampang. Posisinya tepat di depan stasiun KRL Juanda, jadi mau nongki malem baliknya gausah …",3 months
Efron Cong,4,"Mantap, mayan murmer",3 months
Orang sukses Duniaakhirat,5,"Kekurangan nya,ga kedap suara,saya kan bawa toddler,tetangga otomatis keberisikan, wkwk,jg kalau ada yg keluar masuk pod kedgrn bunyi nya,anak saya 2 thn betah bgd suka dia ,walau  ga seluas kamar hotel pada umum nya,kalau saya sih orang …",3 months
Trip.com Member,5,Very clean. Very convenient the location.,3 months
Kamal,5,,3 months
Christofora Vinantha,5,,3 months
Surya Kencana,5,"Nyaman, aman, tidur nyenyak, fasilitas bersih",3 months
Galih Fajar Sudrajat,5,,3 months
Trip.com Member,5,"Taxis are cheap in Indonesia, so look for the blue bird recommended by Xiaohongshu. One kilogram of mangosteen costs 5.4 yuan, and two durians cost 93 yuan. The fruits here are super fresh. The meaning of travel is to experience whether the …",3 months
Trip.com Member,4,BoboxPilhan tebaikTempat strategisOk bangeeettttttttt,3 months
Trip.com Member,5,"this is the best hostel I had ever stay for this whole trip-The location is superb, the room adopted the touch screen control and the service is superb— I’ll definitely stay again for my upcoming Bali trip .. Bobobox group is the best !!",3 months
Uray Denny,5,,3 months
Trip.com Member,4.6,"Worth recommending ⭐️⭐️⭐️⭐️⭐️Accommodation location: Convenient transportation, 1 minute to the subway station 🚉 Close to city center attractions, walking distance to Masjid Istiqlal, Merdeka Square, etc. Accommodation environment: 2 people …",3 months
Amii AlSa,5,,3 months
Isran Asnawi,5,"Hotel capsule yg recommended. Cocok banget yg nyari tempat buat numpang tidur doang.
Kamar nya bener2 muat satu badan aja, solat dan makan aja gk bsa di dalam pod. …",3 months
Trip.com Member,4.5,"Exactly the same as the other bobopod locations, but at the same time much better than their Jakarta location because this is right in the middle of town. Shopping mall across, with good western food at fair prices (even for a backpacker) …",4 months
winda aprilia sunandar,5,Nyaman untuk transit tempatnya strategis dan harganya affordable,4 months
Jasmine aprilia,5,,4 months
Nandhisa Ayu,5,"lokasi strategis, pelayanan baik, room bersih, ac dingin, kasurnya juga cukup lega, toilet wangi dan bersih banget.
sangat recomended!!",4 months
Fahri Alfarisi,4,gak ada TV,4 months
Eka Yudhistira,5,,4 months
Muhammad Ridwan Qarni,5,,4 months
Trip.com Member,4,"Nice place ,nice price ,nice facilities,Recomended for travelersOr for couple",4 months
Sugi Aspol,4,,4 months
Yusuf Junifer,4,,4 months
Humayah Rahayu,5,Sangat bagus dan pelayanan yang ramah,4 months
Faizal nurdiansyah,5,"Bersih, nyaman !",4 months
Trip.com Member,5,Good job,4 months
Irfan Abdurrahman,5,"Very high value, even for a pod hotel",5 months
judo renio,5,,5 months
Nadya Bawika Adhinata,5,Cuma 1 malem disini.. Kamar adem bgt padahl AC belom dinyalain full.. Tempat sangat nyaman.,5 months
Ahmad Ghajali,5,"Bobopod juanda selalu jadi pilihan kalo lagi maen ke jakarta, karena :
1. Tempatnya strategis banget, sebrang2an sama stasiun KRL dan Transjakarta, halte bis wisata juga tinggal nyebrang, sama deket ke kawasan monas, masjid …",5 months
saskia oktapia,5,,5 months
Jacqueline Le Pape,5,"Very modern, clean and super quiet.",5 months
Ega Megantara,5,,5 months
dwi iwd,4,,5 months
Ica Cairunnisa,5,,5 months
Sintia Astarina,5,,5 months
Iwan Dinamo,5,Gak bisa dijelasin intinya saya ketagihan buat ke cabang yg lain apa sebagus ini juga. sengaja cari penginapan krn malam tahun baru so saya dr bekasi bawa 2 anak kecil gak mungkin untuk balik kan so reservasi di sini n mantap suka nyaman …,5 months
Trip.com Member,5,Good hostel with good management also you can easily find the train station in front of hotel,6 months
Satrio Budi Wicaksono Wirawan,5,,6 months
Tengku Rizal,5,,6 months
Raihan Fauzil,4,"Sprei, selimut, handuk ada noda semua, layanan top, lokasi di ruko dan lt 1 nya gelap",6 months
Zakaria الصويري,5,Very nice little hotel..very good location..clean...very good experience..you will need to have a number of such premises to activate the application in order to have a QR code..otherwise impossible to access it...,6 months
Caca Mala,5,paling suka kesini karena deket dari krl stasiun juanda,6 months
Fadhllurahman Syukri,5,,6 months
ANDI JAMALUDDIN ANJAS,5,Ckup nyaman,6 months
Hafiz Rahman,3,,6 months
fahmi “imhafi” fauzi,5,"Tempat yg asik buat istirahat, dekat stasiun, Istiqlal dan pasar senen ...nyari makan juga mudah",6 months
Margarita Nicolaas,5,,7 months
Latipah Rahman,5,,7 months
rikanosaurus,5,"Menyenangkan sih untuk yg punya anak2 kecil.. bersih itu hal yg wajib untuk anak yg punya alergi debu, kebetulan bobobox ini mementingkan hygiene and steril 🩷💜
Bobobox jg aman pol, ga takut anak jatuh dari dipan hahaha, kalau hotel posisi …",7 months
Idrus Atma,5,"Lokasinya strategis, deket kemana2. terletak di ruko tepatnya di lantai 3.",7 months
Erga Twisana,5,,7 months
Suzatmiko Ilham,5,"Fast service with clean room and easy acces, and also low prices. Close to various places to shop for food and drinks",7 months
