nama,bintang,komentar,Waktu
Shoyang Gadis S,5,,2 days
Syahdan Luza,5,,2 days
Dody Satrianto,5,,2 days
Axl Peppers,4,👍 …,a week
dayu khayanna,5,,a week
Ari Ramadhan,5,,a week
dany zakaria,5,,2 weeks
agustinus yogaa,5,,2 weeks
Gabriella Singgih,5,"The hotel's location is very strategic, just a few steps from the Blok M MRT station, making it easy to access various city destinations. The rooms are secure, ensuring guests' safety.

Rooms feature adjustable color lighting and a Bluetooth sound system for playing music or other audio easily. Although the bathrooms are shared, they are kept very clean. Bathroom amenities include a hair dryer, hot water, shampoo, and soap.

The hotel also provides a small kitchen for guests to use, adding to the convenience and comfort of the stay. The rates are affordable, making it a great value for money. Additionally, the hotel staff are very friendly and helpful, ensuring a pleasant experience for all guests.",2 weeks
Daffa Putri,5,"Worht it lokasinya karena deket banget sama stasiun mrt blok m cuma jalan 5 menit aja, dan deket dengan streetfood blok m, tempat nya nyaman buat backpakeran, bersih dan ada dapurnya buat tempat cuci2 piring, kamar mandi sharing, mushola di 1 lantai, free air minum isi ulang",2 weeks
Roy Anthony,5,,2 weeks
W.Sigit14 14,5,,3 weeks
Dewiaji Muliasari,5,,3 weeks
pohon bumi,5,"Tech savvy capsule hotel, all in one app, value for money, service excellence

Location, location, location 💯👍🏻✔️ at the main street, adjacent to Alfresh supermarket 👍🏻 that's really good. This Bobopod is near Blok M MRT station 🚉🚋. And lots of cafes, restaurants and mini market nearby.

The pod 🫛 hotel is a shop house converted into a three floors 🏨 hotel. There are 86 pods.

They have seating area to eat or work on computer 💻 with lots of electric plugs 🔌.

The kitchen area has kitchen sink, mugs, plates, bowl, crockery, electric thermos and microwave oven 👍🏻✔️💯

Drinking water is available for free from dispenser.

They have two types of pods / capsule, the lower level ""earth"" and upper level ""sky"". Basically a pod is a half room cut horizontally.

Toilet 🚽 and shower 🚿 is available on every floor. Shampoo, soap and hair dryer are always available 💯

Wifi works well 👍🏻
Air conditioning is really cold 🥶
Bobopod use only QR code as room key 🗝️
Check in and check out are done from the app without hassles 💯✔️👍🏻

The pod has some features to improve sleep quality 😴

You must change your shoes with bobopod slippers inside the hotel area. That helps a lot to maintain cleanliness and quietude 💯✔️

They provide lift 🛗

The sky pod needs design improvements, it is not easy to climb the bed 🛏️, also how to get down from there.

You can watch the MRT train 🚂 goes by from the seating area 🪑",4 weeks
Rahmi Hidayati,5,Scaling pertama ny menyenangkan resepsionis ny ramah dokter n perawat ny juga ramah. Recommended dec,4 weeks
Hari,4,"Bobopod by Bobobox ini emang penginapan yg terlalu futuristic. Semuanya serba pakai aplikasi gitu. Jadi walaupun sudah booking di aplikasi lain tetep harus install aplikasi sendiri. Kenapa? Biar bisa check-in dan check-out. Akses pake barcode yg ada di aplikasi. Mau keluar masuk ruangan dan akses pake barcode. Artinya harus bawa hp kemana-mana. Which is mayan meribetkan si, buka hp lalu buka aplikasi lalu buka barcode.
Karena ruangan tempat tidurnya yg ga kedap suara sama sekali jadi memang pasti bakal kedengeran suara ngobrol, langkah kaki atau bahkan hanya bergerak di kasur.
Cocok si untuk yg backpacker-an. Tidur juga nyenyak ko. Toilet ada 3, tempat mandi 3 masing masing laki dan perempuan.
Ada mushola sama tempat makan tp aku ga nemu yg katanya lantai 2. Entah masuk lewat mana 😪
Sekian dulu deh.",a month
Titania Dhea R,5,"Sebenernya sengaja nginep disini karena udh tau kualitas bobobox seperti apa, dan terutama kebersihannya. So far tidak ada masalah dengan kamar, pelayanan dll. Kamar mandi bersih ada water heater, toilet bersih, ada loker, ada lift, water Refill disediakan, ada microwave, alat alat makan, mushola juga. Tempatnya ga terlalu jauh dari MRT blok m, tapi memang parkir nya cukup terbatas, tapi it's ok karena saya pengguna transportasi public. Tapi perlu beberapa notes yg perlu diperhatikan di bobobox Kebayoran Baru.

Pertama, gelas yg disediakan sebenarnya bersih, tapi karena jarang di deep cleanse, ada banyak noda bekas kopi atau teh yg sebenernya bisa bersih kalo dibersihkan menggunakan serabut stainless steel. Mungkin bisa dibuat pertimbangan untuk deep cleanse gelas, btw saya gak pake piring nya jadi ga tau kondisinya.

Kedua, kayaknya saya dapet handuk yg ""agak bau"" entah faktor handuknya terlalu lama di ruangan tidur box nya, atau memang bukan handuk yg baru bgt di cuci, saya juga kurang paham, yg jelas berbau kurang mengenakkan.

Ketiga, saya ga dapet sikat gigi haha, tapi gapapa kok it's ok, handuk sih agak krusial menurut saya. Untung bawa handuk pribadi.

So far sih semuanya ok, tapi memang di setiap akses pintu harus pakai barcode, jadi harus standby bawa hp. Room nya based on technology bgt lah ya suka sih. Oh iya minusnya paling mushola hanya ada di lantai 1, jadi karena dapet nya di lantai 2, agak mager kalo harus turun tangga, jadinya sholat di kamar aja.

Untuk kebersihannya ditingkatkan lagi yaa, tapi puas kok dengan semua layanan dan fasilitas yg disediakan.",a month
Adira Marianaaa,5,,a month
Erni Duwiyanti,5,"Gabisa review karena ga nginep disini.
Padahal aku cuma makan di depan bobobox aja. Tapi kenapa maps mengatakan bahwa aku pernah berkunjung di bobobox??
Btw pecel ayam depan bobobox, sambelnya enal bangeeetttt mantaaappp...
Ayamnya kriuk.
Harganya juga affordable sama seperti pecel ayam pada umumnya.",a month
Cinderila,5,"Jangan tanya sih klo ini udah beberapa kali, awal merantau nginepnya dsini dan awal meet sama doi di jemputnya dsini🥹",a month
krisna dewi,5,,a month
Marisa Xu,3,"Tidak dapat air minum dalam botol seperti di ITC Kuningan. Selimutnya juga disini tipis bener, beda dengan di bobobox lainnya. Kamar mandi dan toilet cuma ada 3 tiap lantai, padahal pods nya ada banyak.",a month
Triyanto Triyanto,5,,a month
Junnah Adhyaksa,5,,a month
Anam Choi,5,,a month
