nama,bintang,komentar,Waktu
ANGGA HIDDEN,5,"Bersih , ramah, strategis, rekomendasi di kotalama.",a day
Novita Listyaningsih,3,,a day
Tony S.,5,Ok sebagai alternatif menginap di tempat bersejarah,2 days
Saieful Ilham,5,,2 days
Yuniar Rizky Suryani,5,"hotel kapsul yg rekomended, lokasi strategis dengan kota lama, pelayanan oke 👍",2 days
Iman Kurniadi,4,,4 days
Me You,5,"AC NYA DINGIN BANGET , SAMPE MUSTI DI SUMPEL TISSU KALAU MALAM 🤣🤣",5 days
Zeneth Thobarony,5,"What a gem in the middle of old city! Pengalaman pertama di bobopod. Kebetulan ikut suami biztrip ke Kudus (transit Semarang). Kesempatan deh! Kalau ga, ga mungkin soalnya anaknya udah 3 hehe.

Agak trust issue sebenarnya sama yg sharing bathroom karena duh pake brg org lain. Namun, berbekal pernah nginap di bobocabin, percaya bgt deh sama servis Bobobox.

Ga mengecewakan. Semua bersih termasuk kamar mandi pristine, ada mushola pula!",6 days
marcella yuanita,5,"great place to stay when you have solo travelling..
maybe it's just a pod, but they give us the best service! I stayed here for 2 nights, all the receptionists and securities are so kind and helpful! they answered and respond all questions and requests so well.. all the areas are clean too..
the parking lot for car is packed and little, but don't worry.. the securities will help you with smile..
thank you so much!",2 weeks
Puri Kendedes,5,"Nice atmosphere, strategies location, good price, clean n neat
Friendly staff
Good security",2 weeks
Yogin Arbi Virgian,5,"Nyaman, aman, recommended bgt",2 weeks
Hendri Tama,5,Clean,2 weeks
Ayu Laksmi,5,"Lokasi bobobox ini sangat strategis. Berada di tengah kota lama jadi bisa menikmati area kota lama dengan berbagai suasana. Mau cari makan, jajan, ataupun kemana2 sangat mudah aksesnya. Dari stasiun semarang tawang pun dekat (jalan kaki ga sampe bikin gempor)

Pelayanan petugas juga bintang 10!!! Best banget. Pada ramah dan helpfull semua. resepsionis yang 24 jam (jadi gaperlu khawatir kalau kereta datang dinihari)

Kamar rapih, bersih, dingin, dan semua berfungsi dengan baik. Ada galon untuk refil minuman. Kamar mandi pun bersih banget!! Pelayan selalu melakukan checking dan pembersihan secara rutin di seluruh area.

Tp kalau boleh saran, untuk toilet cewe kalau bisa yg bersihin cewe juga ya. Karena takutnya ada yang sedang di dalem toilet waktu petugas ketok2 untuk membersihkan kamar mandinya jadi ga denger/gasempet keluar

But overall verry recommended and satisfied selama disini❤️ ini foto di gang sebelah bobobox",3 weeks
Trinanda Dinantio,5,"Salah satu bobopods terbaik dari segi lokasi, kualitas kamar dan pelayanan. Lokasi yang dekat dengan stasiun lawang dan tepat di pusat kota lama, membuat bobopods ini sangat strategis. Perlu di ketahui saya sampai di Semarang sekitar pukul 2 malam, dan berjalan sekitar 10 menit ke bobopods ini. Kamar sangat baik dan bersih, standar seperti beberapa bobobox yang pernah saya inapi di kawasan Jakarta.

Saya amat ingin meng highlight pelayanan di bobopods ini. Saat datang, kebetulan saya membawa beberapa makanan untuk oleh oleh, yang perlu di simpan di kulkas. Dan setelah saya sampai di bobopods, saya langsung bertanya kepada cs, apakah boleh saya menitipkan makanan saya di freezer bobopods. Saya bukannya memberi tahu orang orang kalau kamu bisa menyimpan makanan di kulkas bobopods, tapi sayang ingin mengapresiasi pelayanan dan bantuan yang diberikan oleh staff sangat sangat hangat. Maaf karena saya tidak bisa menghapal nama nama para staff yang sudah membantu saya. Menginap di bobopods ini juga menjadi pelengkap liburan pertama saya di kota Semarang, yang menyenangkan dan penuh cerita.",3 weeks
Dewi Yuli Anti,5,"Lokasi strategis, deket banget dari st. Tawang. Jalan gak ada 10 menit sampai dan mudah ditemukan. Lokasi samping Starbucks. Banyak penjual makanan sekitar juga. Pelayanan sangat ramah, pod/kamar bersih dan wangi. Kamar mandi dan communal space juga rapi. Tersedia air galon buat refill botol minum.",3 weeks
Aji Susilo,5,"Resepsionis ramah poll, ruangan wangi, kamar mandi bersih meskipun sharing. Tempatnya juga samgat strategis mau ke stasiun cukup jalan kaki .",4 weeks
Jashinta Kresna Senja,5,,a month
Safira CA,5,"Saya kesini bukan menginap, melainkan main ke kamar sepupu yang kebetulan menginap disini. Secara keseluruhan saya suka tempatnya. Di bagian depan, ada area semi outdoor untuk duduk-duduk, lalu di bagian tengah ada lobby yang pegawainya ramah. Untuk kamarnya sendiri ukurannya menyesuaikan dengan yang kita pilih, ada yang single ada yang double, ya cukup lah. Kita juga bisa memilih apakah posisi bed kita di bagian atas atau bagian bawah, dimana bagian atas lebih mahal. Kamar mandinya ada di luar, terpisah antara laki-laki dan perempuan. Di lorong juga disediakan dispenser jika kita ingin minum.

Tempatnya bersih. Tersedia juga parkiran mobil dan motor di bagian depan. Untuk lokasinya sangat strategis, ada di pusat kota lama Semarang, dekat dengan Gereja Blenduk, disebrang District 22. Overall, sangat recommended buat bakcpacker atau solo traveller.

Ada kucing pejantan hitam yang suka nongkrong di dekat lobby, kucingnya manja,",a month
Fermana Yuda,5,,a month
Waldo,5,,a month
