nama,bintang,komentar,Waktu
unknown,5,,2 days
Rendra Eka Wardana,5,"lokasi strategis, kamar nyaman dan ada air hangat",4 days
Devilia Apriliani,5,,a week
Berliyanto,5,"Cocok untuk solo traveler atau yang mau numpang rebahan sekalian transit menunggu jadwal keberangkatan kereta sambil belanja di Malioboro. Perlu sekitar 10-15 menit jalan santai ke stasiun. Lokasi persis di pinggir jalan Malioboro. Internetnya kenceng, jauh di atas rata-rata hotel sekitarannya. Tidak disarankan untuk lansia atau orang-orang yang tidak menyukai tangga dan lorong-lorong sempit. Kebersihan dan kenyamanan kamar mandi sebaiknya lebih diperhatikan, mungkin itu risiko sharing kamar mandi.",2 weeks
Sutandi Pakpahan,5,,2 weeks
Is Setiawati,5,,2 weeks
ROODS CHANNEL,5,,2 weeks
Rizki Meizikri,5,"Everything is according to the standard of bobobox. Clean, swift checkin, and close to crowds/city center. However, malioboro is often avoided by online taxis, as the crowds and traffic can be so intolerable. You might find your order refused by the drivers. Try walking a bit to either end of the malioboro street to get better chance of getting online transportation (it's not that far of a walk)",2 weeks
Galang Jaka,5,"as yall expect, this is for some backpacker who travels mostly on pub transport and foot, and doesnt have too high of a standard for accomldation.

i mean, i get it, its a capsule hotel.

i dont say i hate it too much, the only thing i hate is that being no parking means u have to park your vehicle rather far, about 10 mins by foot.",3 weeks
Yanti joko,5,,3 weeks
Sherif,5,👍👍,3 weeks
Muhammad Arifin,5,"Sere aja ,jadi inget peliharaan di rumah.",4 weeks
Fikri _D,5,,4 weeks
Aleeya Intan,4,,4 weeks
Endi Yusmilarso,5,"Nyaman, staff ramah, terjangkau semua kalangan",4 weeks
Rudy Chandra,5,,a month
Ocktavianita Mooduto,5,,a month
Clara Fathana,5,Ini mah judulnya bangun tidur ku terus wisata. Suka banget sama roomnya yang bisa di custom untuk warna lampu dan juga musik. Ac nya dingin banget kaya sikapmu tapi masih bisa diangetin sih ini tinggal diputer aja arah acnya mau + atau -,a month
Vina Rachmadani,5,,a month
Riesha Lulu A,4,"First time nyobain Bobobox Pods di Malioboro, pertama masuk ruangannya bersih, adem, wangi, kamar mandi jg termasuk yg bersih dan terang meskipun shared bathroom, lokasi juga strategis bener2 di deretan malioboro jd klau mau cari makan + oleh oleh jg gampang aksesnya, staf nya jg ramah2.. overall kalau dr service nya sih aku gaada masalah yaa

Mungkin yg agak sedikit mengganggu wktu pas nginep itu yaa ada guest lain yg gedebak gedebuk (entah suara langkah kaki nya dan saat buka/tutup pintu pod nya) sedangkan itu masih masuk quiet hours (jam 4 pagi).. sisanya sih aku gaada complain.",a month
Desi Pratiwi,4,,a month
Risqi Bakhtiar,5,,a month
erlina catur,5,,a month
Aileen Felicia,5,,a month
Muh. Fatir Aidil Akbar,5,"Sangat puas menginap disini.
Berikut beberapa review jujur dari saya,

Kamar : sangat bersih, bau wangi, dan sejuk
Pelayanan crew : sangat ramah, murah senyum, dan sopan
Toilet, kamar mandi, mushola, ruang terbuka : semuanya sangat bersih dan nyaman
Lokasi : sangat strategis, buka pintu langsung bisa liat Jalan Malioboro

• Sangat recommended untuk traveler yang ingin mencoba hotel kapsul di Malioboro",a month
Yulidedi Sugiarto,5,,a month
deni subagja,4,,a month
Rachmat Hidayat,5,"Rekomend klo hotel yg plng dket ke malioboro ya ini jwbbnyya, minus parkir aja",a month
Aditiya Gunawan,5,,a month
aiko jasmine,5,"Lokasi oke bangeeet..buka pintu udh Malioboro..cobalah..wajib download bobobox..awalnya cm penasaran.dan takut dgn ruangan sempit...ternyata nyaman kog..dan bersiih.. rd takut ke kamar mandi Krn berada di pojok dan sepi..tapi ya berdamai dgn keadaan aja..ternyata tidak perlu ditakutkan Krn byk jg yg ke kamar mandi tengah malam..berhub cuma sendiri ya menyenangkan.pilih kamar yg berdua tp dipake sendiri..Ndak berasa sempit kamarnya..pilih yg atas Krn LBH lucu..dpt sarapan roti..ada dilantai paling atas,sebelah mushola..makan ga boleh dikamar ya gais..ada tempat makan/tempat nongkrongnya kog",2 months
Sukamto Oey,5,,2 months
Novi Triandri,5,,2 months
Bang Jay,4,Nyaman,2 months
Intan Sri Rahayu,5,,2 months
Renaldi Suryadinata,5,,2 months
leonardo Galuh,3,,2 months
Ananda Putri,5,"Sebelumnya ngga pernah terfikir untuk staycation di Bobobox.. cuman tau, konsepnya itu tempat tidur minimalis.

Sampailah bingung cari tempat selonjoran untuk nunggu jam keberangkatan kereta api di tengah malem, sedangkan saat itu masih jam 15.00.. karena malas jalan-jalan plus nenteng koper dan lagi ga enak badan juga, kepikiranlah untuk booking disini untuk sekadar rebahan.

Ternyata tempatnya nyaman banget. Bersih. Dan ngga se-sesak yang ku bayangkan. Cukup leluasa untuk tiduran guling-guling kanan kiri😀.
Dan wangiiii sekali tempatnya.

Memang pas masuk, agak effort nenteng koper naik tangga, karena posisi Boboboxnya di lantai 2, di Jalan Malioboro tepat diatas bangunan tempat oleh-oleh.

Tapi, proses check innya sangat mudah dan petugasnya ramah menjelaskan ke aku yang belum pernah nyoba Bobobox dimanapun.
Jadi, untuk check in harus pakai aplikasi Bobobox, dan untuk kunci kamar juga pakai aplikasi.

Tidak diperkenankan membawa sepatu ke kamar. Sepatu disimpan di loker & ditukar dengan sandal.

Tidak diperkenankan juga makan di kamar, ada tempat makan disediakan di lantai 3. Disini juga dijual makanan siap saji & kita tinggal hangatkan sendiri di microwave di lantai 3.

Ada mushola juga di lantai 3, cukup luas & bersih.

Untuk toilet & tempat mandi ini sharing, tapi bersihhhh banget. Nyaman..
Dipinjamkan juga hair dryernya.

Oia, pas tidur juga ada fitur pengaturan lampu & suara untuk relax saat tidur.
Semua fitur lampu kucoba hahaha..😅😅
Dan ada jam tidak boleh berisik di jam 21.00 sd 07.00.
Ini ampuh sih buatku yang tertidur beberapa jam disini.",2 months
Ibrahim Haji,5,,2 months
Sismayadi,5,,2 months
Angela Clara,4,"Ga ada parkiran motor 🤣 jaraknya agak jauh 🤣🤣 ke resepsionis naik tangga. Tp abis sampe dingin ac seger, lumayan lah",2 months
febri fit,5,,2 months
ira yuli,5,"Pengalaman pertama kali menginap di bobobox pods di Malioboro.
Lokasi nya strategist pas di jalan Malioboro. Bagi solo backpacker recommended sekali. Ruangan nyaman, bersih dan wangi. utk di earth pod bila tdk hati2 bisa kena langit2 saat berdiri.
Tapi utk menginap bersama anak kecil atau pun lanjut usia kurang recommended, banyak anak tangga di pintu masuk, ke toilet, mushola dan ruang makan di Lt 3.
Tapi secara keseluruhan ok👍",2 months
vinsha tonote,5,,2 months
Kanaya Abigail,5,"Best, cheap and great hospitality. All the receptionist is kind and lovely to help!
Would visit this again someday. And it's very clean and cozy!!!",3 months
LILIK INDARWANTO,4,,3 months
Dea Wardhani,5,,3 months
Joko Triatmojo,3,,3 months
Farynd_Sam,4,,3 months
Rizki rasya,5,"Kamar mewah tp g mahal, layanan mantab lokasi mudah di jangkau dekat fasum dan pusat kearamaian",3 months
