nama,bintang,komentar,Waktu
Sufry Yono,4,,13 hours
Didin Ropidin,5,,a week
Andika William,5,,a week
Aldi Al,1,"Pegawai yg pakai kacamata namanya yusuf, mukanya songong, tengil,.

Beberapa kali sayaa nginep kalau dia lagi jaga, saya jadi emosi bawaannya.

Kalau pegawai yg lain ramah2 baik. Cuma si yusuf aja yg gayaknya kaya bos,.

Jadi mikir 2 kali kalau mau nginep disini",3 weeks
Rahmat Syukri,5,,3 weeks
Wuri Febriyanti,5,"First time nyobain kesini tuh nyaman bgt bersih pokoknya, toiletnya pun bersih bgtt, receptionistnya juga ramah btw pas ngejelasinnya, teknologinya juga canggih serba pake scan barcode di aplikasi, keren✨️ ini yg earth pod btw✨️",3 weeks
A Lukman,4,Satu gedung dgn mall mega bekasi,a month
muhammad reza fahrizal,5,"Dalam mall mega bekasi... pintu masuk bisa dari lift lantai 1 samping fore, lokasi lantai 3

Rekomendasi karena
- resepsionis nya sopan
- bersih karena petugasnya membersihkan toilet dan pod yg telah selesai digunakan
- bebas parkir (sebutin aja parkir dalam mall)",a month
Jeanny,4,"Lokasi mudah dicari, pintu masuk dekat fore coffee Mega mall bekasi.
Kualitas room standard bobopod.

Yang perlu diperhatikan dari sisi keamanan, pintu akses ke area pod tidak ditutup, yang artinya orang bebas masuk, kemungkinan orang tanpa akses QRpun bisa akses.
Baru di bobobox, gabisa minta extend stay on the spot, harus booking online.

Occupancy tinggi, ada keluarga yang stay juga, jdi kurang nyaman krna ribut

Plusnya, akses mall sangat mudah.

Smoking area bener bener diluar boboboxnya 😹",a month
Arif Sugianto,5,,a month
Tony Suryana,5,,a month
refan hilman,5,,a month
Hafizd Al azhar,5,sangat nyaman,2 months
kadtabal nixson,5,Oke,2 months
kadtabal nixson,5,Ok,2 months
Johan Bagus,5,"Selalu jadi andalan buat short staycation karena berada di pusat kota, berada di Mega Mall Bekasi sisi samping jadi tidak masuk ke mall nya yaa, ada papan petunjuk nya disamping arah parkiran basemant, masuk dan naik lift.

Pengalaman menginap di hampir semua bobobox seluruh Indonesia, bedanya disini saya dapat free breakfast roti. Untuk kualitas sama seperti bobobox keseluruhan.

Akses kesini cukup dekat dengan stasiun LRT Bekasi Barat.",3 months
