nama,bintang,komentar,Waktu
Dody Satrianto,5,,2 days
Siti Nurhasanah,4,"Kamarnya rapih dan bersih. Tempatnya juga tenang. Kamar mandinya saat dipakai juga tidak terlalu ramai walaupun dipakai secara bersamaan.
Pelayanannya baik dan komunikatif. Pas awal datang sempat ada kejadian hp saya …",a week
Wawan Triawan,5,"Pengalaman pertama nginep di Bobopod.

Kamarnya bersih. Kamar mandinya sharing tapi bersih dan cukup besar serta ada di setiap lantai. Closet sama kamar mandi misah.

Stafnya ngejelasin tata cara ini itunya dengan baik karena untuk membuka pintu depan dan pintu kamar harus scan barcode yang ada di aplikasi Bobopod.

So far so good. Menjadi pengalaman pertama nginep di Bobopod yang baik.",a week
Nur Fithri Anita,5,"Transit disini dari jam 2 sampai jam 6 sore, bawa 2 bocils, mereka happy karena kayak lagi rumah2an😆
Lampu bisa diganti2, sesuai mood, ada music pengantar tidur juga..

Ada fasilitas kamar mandi, musholla, air minum refill, tempat untuk makan, alat2 makan, semuanya sharing..
Semua fasilitas nya bersiih..
Resepsionis nya juga ramah2..
Sukaa singgah disini..",2 weeks
Yeremia martino,5,,2 weeks
Santo Po,5,,3 weeks
Dee (Dee),5,Lokasi strategis dan biaya murah untuk singgah sementara,3 weeks
Cahaya Yanty,1,"Pengalaman kurang ramah, kurang jelas informasi secara detail .....

Pelayanan kurang teliti, terhadap tamu  datang

Karyawan dan leader pun kurang ramah dan kurang baik.

Hotel kok gini banget yeaak, terasa di layanin oleh preman",3 weeks
ARIF YULLOH,5,Mantap,3 weeks
Aris K js,5,,4 weeks
Wulan Darunisa,4,"Pengalaman pertama nginep di bobopod pancoran itu dari kamar nya bersih, kamar mandi bersih dan fasilitas berfungsi semua. Minusnya, breakfast nya gak enak, gak ada rasa, dapet breakfast tapi makanan berat yang dateng ayam sama sambel gak ada rasa lagi zonk kali ya. Terus kedua tempatnya di dalem perumahan, di jaga sama satpam aka pungli! Masa cuma pesen grab doang jemput di depan bobopod tapi bayar 5k. Cari duit bet. Untuk keseluruhan baik. Bintang 4 dulu ya!! 🌟🌟🌟🌟",4 weeks
Aisyah mutiara zahrani,5,,a month
asykar kelana,5,,a month
Zainal Abidin Smith,5,,a month
JESSSY 68_,1,"baru kali ini minta untuk latecheckout sekelas harga bintang 3, 300 rb , capsule hotel, bukan toilet sendiri, no mineral water,
TELAT 11 menit dari waktu checkout, dikenakan charge setengah harga kamar.
lucu sih, di hotel terkemuka dengan harga lebih mahal pun dan kamar pribadi ada air , latecheckout 1 jam tidak masalah , semua dari hotel yg saya pernah tempatin selama urusan bisnis.",a month
Andrie Kurniawan,5,"Bobopods Pancoran adalah tempat penginapan modern dan unik yang menawarkan pengalaman menginap yang nyaman dan terjangkau di Jakarta. Dengan desain kapsul yang futuristik dan fasilitas lengkap, Bobopods memberikan suasana yang nyaman dan efisien bagi para tamu. Lokasinya yang strategis di Pancoran memudahkan akses ke berbagai tempat penting di kota. Staf yang ramah dan pelayanan yang profesional membuat setiap tamu merasa disambut dengan baik. Bobopods Pancoran adalah pilihan sempurna bagi mereka yang mencari penginapan praktis namun tetap stylish di Jakarta.",a month
warzukni rahman,1,,a month
Adnan Santoso,4,,a month
ALdi Gareng,5,Nah seharusnya bobox kaya yang di pancoran gak berisik walaupun udh mode quiet tetep gak berisik dan resepsionistnya ramah ramah air panas bagus kamat mandinya bagus sedikit saran untuk fi kamar mandi kasih pewangi ruangan  selebihnya enak deket kemana mana deket tebet,a month
Dimas Aji saputra,5,Bagus tempatnya,a month
Okke Lagana,5,"Recommended accommodation for local and international travelers, good location,good rooms, good service . Easy to find it",a month
ipan dian,5,,a month
