nama,bintang,komentar,Waktu
tsyfzhr _ft,5,,7 hours
zavin telah kembali,5,,a week
Fitri Kiki,5,,2 weeks
Januari Bercerita,4,Baru pertama nginep disini. Sebelumnya udah pernah nginep di Bobobox tapi yg di JKT. Overall sama aja si sebenernya dari fasilitas dan service. Tapi entah kenapa pas sy nginep disini aroma di area ruangan di luar kamar lantai satu agak …,2 weeks
M Nuur H,5,,2 weeks
Nico Domenic,5,,2 weeks
Anton Hartanto,5,,2 weeks
Mnur azis,5,Semua fasilitas oke. Pelayanan juga oke,3 weeks
Donny Gideon,5,"Kamar sangat cukup untuk solo trip.
AC terlalu dingin karena AC central.
Lokasi hotel di pusat kota, di jalan slamet riyadi.
Banyak tempat makan di sekitar hotel.
Kamar mandi sharing tetapi dipisah untuk pria dan wanita.
Kebersihan hotel cukup baik.

Parkir mobil di pinggir jalan, untuk 1x parkir diminta 2x bayar yaitu waktu baru parkir dan pada saat selesai parkir.",3 weeks
SLGP Adventure,5,"Disini bobobox terbaik yg saya rasakan, krn pelayanannya bagus, baik, ramah, Dulu saya pernah nyoba nginep di bobobox malang tp kurang nyaman krn dapat kamar dekat pintu keluar masuk orang dan dapat kamar yg orang dibawahnya berisik jd sampe gk bisa tidur tapi di bobopod solo ini saya req kamar pojok biar sepi ternyata dikasih, bener2 baik deh pelayanan disini stafnya juga ramah cuma minus satpam yg bapak2 aja kurang senyum.

saya menginap disini 2 hari bener2 nyaman dan bisa tidur nyenyak, pokoknya nanti klw ke solo lagi kau nginep disini lagi aja BEST buat yg solo traveling.",3 weeks
Thio Fellyx,5,Cocok untuk backpakeran bersih,4 weeks
Nci Sri Hati,5,"Aksesnya mudah untuk kemana mana,resepsionisnya ramah",a month
Rara Monica,5,"Berlibur di Solo 1 minggu dari jawa timur untuk melihat kotanya mas wali gibran yg mau jadi wapres dan bermalam dibobox.

Waktu checkin sayangnya pas setelah ada fogging jadi batuk dan sesak di area fromt desk.
Apalagi aku sensitifan. Mba front desknya baik tapi need more care kali ya. Soalnya pas aku batuk2 effek fogging yg tersisa di fromtdesk ga ditawari permen, padahal disana ada permen woods gratis, 🫢 aku tahunya pas malem mau cari makan dan itu pun musti tanya permenya dijual apa tidak 😅",a month
S Fatimah,4,"Nice pelayanan oke, tempat nyaman, tapi agak PR di parkir kendaraan",a month
Muhamad Ridwan,4,Kamarnya kurang dingin.,a month
Marvin Wijaya,5,,a month
Fach G,5,,a month
Edward Hutabarat,5,"lokasinya sangat strategis dekat dgn pasar gede dan sekitaran hotel banyak tempat kuliner... untuk kamar sendiri bersih, wangi dan ac nya dingin... kamar mandi nya juga meskipun sharing, namun kebersihannya terjaga... bintang 5 untuk hotel ini 👍",a month
Araminta Shittadevy,5,"Pertama kali coba bobo di pods, ternyata seru, kamarku tema sky double n wangi beud, bed nya di atas n luas, kamar mandi bersih, lampu kamar bisa diganti² warna (which is aku suka mainin sebelum bobo hehe) ada music buat relaksasi jg, seru sih ini, dapat bfast pula roti with jams...",a month
Locko sasa,5,"Nyaman, Dingin, ada air panas akses kemana mana gampang dkt tempat makan juga",a month
A Lukman,4,"Bersih, nyaman,",a month
Karel Lawery,5,,a month
Ulya Ruhana,5,,a month
Dzikria Youlanda,3,,2 months
Sukamto Oey,5,,2 months
FX Andre Prayoga,5,,2 months
Diasel_Abshah,5,,2 months
elang bgs01,5,,2 months
Aeny Nurwahdah,5,"alternatif penginapan murah meriah untuk para backpacker, nyaman, bersih, kamar mandi sharing namun tetap terjaga kebersihan nya. ada musholla dan dapur bersama juga. bisa refill air mineral dan dapat breakfast juga. berada di pusat kota solo",2 months
Zalzabilla RF,5,Minusnya cuman mungkin kalau yg bawa mobil agak kesusahan parkirnya,2 months
Nona Elbas,5,"halo mas bobobox solo, please buat simpan jaket eiger warna matcha aku di pod 30🙏, biar saya ambil minggu depan, by nona elbas. 30/04/2024",2 months
Julia Maharani,5,"Very strategic, in the main road of Solo. The place and the bathroom are nice. The people and friendly and helpful. You can ask the info for laundry to the staffs.",2 months
Alishandi,5,,2 months
vidia cendana wangi,5,"Bagi para backpackerss yg tidak membawa kendaraan tempat ini sangat recommended karena terletak di tengah kota dekat dgn bbrp tempat wisata, pun bisa jalan kaki atau menggunakan transport umum (BST) yg terjangkau. Kamar tidur berupa POD dgn pilihan tipe earth (ranjang bawah) atau sky (ranjang atas), pelayanan ramah mantep. Fyi kamar mandi bersama dibedakan untuk cew-cow dgn jumlah masing-masing 2 toilet dan 2 kamar mandi.",2 months
Valentina Heriyanti,5,"Nginep disini rekomen bgt krna mau kmana"" Dketttt dan aksesnya mudah bgtt, cuma gatau knpa AC nya kurang dingin, cuma dsni enak sih walaupun smua musti sharing, rekomen bgtt",2 months
Akbar A,5,Lokasi tengah2 kota banget enak kemana mana dekat,2 months
Miftahul Janah,5,"Tepat penginapan yg bersih n nyaman
Kamar mandi bersih, pods bersih, dan area untuk makan juga bersih

Crew nya baik"" n ramah, saran saja semoga musholah nya di tambah ya kak
Thx🙂",2 months
