nama,bintang,komentar,Waktu
hening tyas,5,Banyak pilihan diskon jika pesan lewat Apps..,2 hours
Михаил Кузнецов,4,"Unfortunately, there is no way to regulate the temperature (it was cold) and during the entire week my capsule was never cleaned, and there was no refrigerator to store food. Otherwise the hotel is excellent.",2 days
Kaysyifa Rahma,5,,a week
Tasya Adelia Safitri,5,"tempat nya bagus nyaman banget buat transit kerja karena lokasi nya sangat strategis di daerah jakarta,dan bersih tempat nya bobobox memang the best saat ini",a week
عمرو عبد الرحمن,3,The place is fantastic apart from their no soundproofing in the capsules and their exhausting stairway. It's well occupied with tech and their food is meh,a week
Natal Lio,5,Enak bgtt deket stasiun sudirman tinggal jalan kaki 10 meter,a week
NatCHANNEL,5,Lokasinya enak bangett,a week
sefii Makaira,5,"DAEBAKK👏👏🥰🥰
Kalau cuma buat tidur doangg nyaman bgtt siii, …",a week
Ellysabeth Simanjuntak,3,I really love this place and was about to give them 5/5 but I think they need to review the kids under 10 yo as guest policy or improve the pod become soundproof. …,2 weeks
Febria Suryaningrum,5,"Lokasi startegis karena dekat transportasi umum, convenience store, street food dan tempat makan. Staf ramah, bersih, tidak berisik.",2 weeks
ed mobile,1,,2 weeks
Rahayu Lestari,5,"Suka banget nginep di bobobox tuh,kamarnya bersih,standar untuk kamar hotel kapsul,taapppii kamar mandinya yang aku sukaaaa bgt ! Biarpun sharing kamar mandinya super bersih dan harum,mana lengkap bgt lagiii peralatannya dan ada hair dryer …",3 weeks
akbar kesuma,4,"Good room, good service and strategies location with a good price.",a month
Arry Risky,4,Parkirnya ngga jadi di di BNI city station Jalan kaki  ±250m,a month
Safira Pratiwi,5,Overall oke seperti bobopod lainnya. Minusnya cuma pod nya terletak di lt 2-3 jdi harus naik tangga berkali² tidak tersedia lift. Mushola hanya terletak di lt 1/lobby.,a month
Thalee,5,"fasilitas nya bagus bgt, next time semoga bisa nginep disini lagi",a month
Rizki Meizikri,5,,a month
Siti Nurkhasanah,5,"Lokasinya sangat strategis, dekat dengan pusat perkantoran di Sudirman. Akses juga sangat mudah, hanya 60 m dari stasiun KRL Sudirman, di bagian bawah gedung ada indomaret. …",a month
Kesuma Puspita,4,"Plus:
•  Lokasi strategis banget, selangkah ke Stasiun Sudirman, MRT BNI, LRT Dukuh atas dan 500 meter ke halte TJ. …",a month
Anisa Aryanti,5,"Semuanya perfect mulai dari security sangat ramah petugas di meja cek in juga sangat baik, minusnya gada lift 😅 tapi yaudah lah ya …",a month
Sparkle Link,5,"Samping stasiun, banyak tempat makan murah di depan, pelayanan ramah dan service ok, room ok",a month
Herman Hartono,5,,a month
Muhammad Hikam Adiguna,5,,2 months
Egy Rahadian,5,"Pelayanan ramah, bnyk kuliner di depan area hotel. Lokasi Deket banget ke stasiun Sudirman",2 months
Laura,4,"Great experience! 👍🏻 Cocok banget buat nginep yang simple sat-set satu malam di sini 😅 lokasinya strategis banget, deket Stasiun Sudirman, MRT, GI, Alfa/Indo, Famima, pokoknya akses ke mana-mana oke banget lah. …",2 months
Kamal,4,"Worth it untuk sekedar tidur dan ada urusan disekitar sudirman, bersih dan nyaman lah...  minus untuk yg stay di bobopod ya room yg gak kedap suara, cukup mengganggu bila tetangga kamar ngobrol atu telpnan suara kedengaran bgt...",2 months
pohon bumi,4,"All digital technologies, capsule/pod hotel 🏨, ultra budget friendly 💯, pantry kitchen and free breakfast ✅ …",2 months
Sanggono Putra,5,,2 months
VR Kris,5,,2 months
Trip.com Member,2.7,"Access only by stair, can not keep lugage, if you keep lugage they dont responsible if someone broke ur lugage, so scary, too small bathroom and hot, not too clean, water small, hot water not too hot, difficult too access the door locked, not friendly staff, too many stair, backpacker place",3 months
Sandi Prabowo,5,2 hari nginep disini ngga mengecewakan. Keluar hotel banyak jajanan dan dekat dengan berbagai fasilitas penunjang untuk berpergian,3 months
Septa Pahingga,5,,3 months
Fachri Rami Effendi,5,,3 months
suka review,5,Good places to stay deket St. Sudirman didepan gedung banyak jajanan dan makanan.,4 months
ALdi Gareng,5,Resepsionist yang cowo tolong di suruh ramah lagi soalnya jutek banget tapi yang cewe sumpah baik banget + supel selalu nyapa pengunjung  ac dingin banget ternyata tenang banget kedap suara dari jalanan ac dingin banget🥶 wifi kenceng oh ya …,4 months
